
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-05-28;20.736,98;2728740991271;21.080,24;2467600939738;21.037,58;3424638318717;20.725,36;288457674156;20.506,93;3512387359661
2010-05-29;20.736,98;2728740991271;21.080,24;2467600939738;21.037,58;3424638318717;20.725,36;288457674156;20.506,93;3512387359661
2010-05-30;20.736,98;2728740991271;21.080,24;2467600939738;21.037,58;3424638318717;20.725,36;288457674156;20.506,93;3512387359661
2010-05-31;20.788,51;2722812394964;21.163,23;2468396382988;21.090,83;3416726940498;20.795,16;288130916255;20.565,28;3520563377385
2010-06-01;20.893,32;2733224593877;21.272,11;2473956059089;21.194,47;3426864471452;20.899,06;287912489249;20.676,96;3536242094684
2010-06-02;20.773,26;2711468470267;21.166,89;2455494735985;21.108,33;3409392335727;20.792,85;286330883831;20.561,65;3498545158737
2010-06-03;20.898,19;2726273415350;21.248,13;2460424177294;21.214,04;3423049683521;20.876,91;289561025463;20.678,68;3518195635778
2010-06-04;21.024,56;2742134331769;21.397,50;2473062115846;21.330,91;3439356189998;21.006,61;291357113325;20.805,92;3538626453330
2010-06-05;21.024,56;2742134331769;21.397,50;2473062115846;21.330,91;3439356189998;21.006,61;291357113325;20.805,92;3538626453330
2010-06-06;21.024,56;2742134331769;21.397,50;2473062115846;21.330,91;3439356189998;21.006,61;291357113325;20.805,92;3538626453330
2010-06-07;20.862,97;2720475114594;21.299,76;2459146229664;21.217,43;3417514859827;20.892,24;289834019923;20.681,94;3516357386479
2010-06-08;20.743,78;2703750559420;21.199,61;2445194400134;21.115,31;3397519748671;20.769,93;288091905361;20.570,40;3497784520335
2010-06-09;20.798,89;2712254996889;21.220,76;2446498464263;21.174,14;3406575400685;20.801,18;288505967807;20.617,90;3506128783821
2010-06-10;20.805,23;2712043321159;21.244,20;2447090303699;21.187,18;3406367392891;20.835,10;288998308744;20.627,41;3507644948790
2010-06-11;20.940,61;2728511279047;21.362,27;2459575425827;21.310,54;3425551245678;20.956,16;290717891385;20.761,40;3530406375898
2010-06-12;20.940,61;2728511279047;21.362,27;2459575425827;21.310,54;3425551245678;20.956,16;290717891385;20.761,40;3530406375898
