
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-03-07;10.399,55;373325706579;10.294,84;756695241082;10.371,56;49467825079;10.332,59;67998779158;10.363,89;972682610253;10.285,97;350224522962;10.485,81;372780665135
2003-03-08;10.399,55;373325706579;10.294,84;756695241082;10.371,56;49467825079;10.332,59;67998779158;10.363,89;972682610253;10.285,97;350224522962;10.485,81;372780665135
2003-03-09;10.399,55;373325706579;10.294,84;756695241082;10.371,56;49467825079;10.332,59;67998779158;10.363,89;972682610253;10.285,97;350224522962;10.485,81;372780665135
2003-03-10;10.414,41;374067570696;10.308,89;758074075279;10.391,18;49564720887;10.348,16;68100416262;10.382,90;974452938722;10.304,68;350835937351;10.502,58;373437421727
2003-03-11;10.405,50;373807013602;10.296,17;757094693386;10.397,71;49593603794;10.336,65;68024788893;10.377,74;973948186623;10.297,88;350569834673;10.497,46;373252017015
2003-03-12;10.336,96;371379698507;10.231,69;752871456242;10.317,08;49209745995;10.260,98;67521968224;10.311,45;967721219653;10.220,94;348125298821;10.428,15;370787356284
2003-03-13;10.323,80;370935192124;10.229,89;752717611340;10.308,57;49205148133;10.261,74;67537255466;10.304,85;967085633551;10.208,18;347685438171;10.416,72;370359670782
2003-03-14;10.294,32;369898115214;10.190,46;750494118547;10.288,69;49205871268;10.227,99;67321022878;10.284,51;965152063282;10.181,17;346771315517;10.389,98;370064523157
2003-03-15;10.294,32;369898115214;10.190,46;750494118547;10.288,69;49205871268;10.227,99;67321022878;10.284,51;965152063282;10.181,17;346771315517;10.389,98;370064523157
2003-03-16;10.294,32;369898115214;10.190,46;750494118547;10.288,69;49205871268;10.227,99;67321022878;10.284,51;965152063282;10.181,17;346771315517;10.389,98;370064523157
2003-03-17;10.314,65;371899753818;10.193,09;751117349996;10.310,42;49269139640;10.246,36;68116533864;10.287,63;967340552354;10.192,57;348155516662;10.400,42;371206871328
2003-03-18;10.334,20;372607800132;10.230,05;753827428106;10.313,32;49351391584;10.276,26;68447287323;10.310,02;972629827821;10.222,72;349181421180;10.429,17;372232297504
2003-03-19;10.343,71;373133356728;10.221,98;755368024658;10.300,94;49315558804;10.273,69;68432349916;10.309,58;972580505637;10.214,81;348898262516;10.427,97;372427084804
2003-03-20;10.376,61;374948288099;10.270,39;758965913001;10.324,36;49469453245;10.311,97;68693840975;10.340,50;975485347359;10.263,63;350573963408;10.457,75;373475622308
2003-03-21;10.404,83;376420401854;10.295,18;760804155139;10.347,35;49651611693;10.334,16;68841752463;10.360,65;977378983419;10.288,75;352688991862;10.482,66;374748261805
2003-03-22;10.404,83;376420401854;10.295,18;760804155139;10.347,35;49651611693;10.334,16;68841752463;10.360,65;977378983419;10.288,75;352688991862;10.482,66;374748261805
2003-03-23;10.404,83;376420401854;10.295,18;760804155139;10.347,35;49651611693;10.334,16;68841752463;10.360,65;977378983419;10.288,75;352688991862;10.482,66;374748261805
2003-03-24;10.396,90;376649936211;10.269,48;760643848708;10.342,32;49661353640;10.320,41;68804492223;10.339,44;975365081578;10.261,71;351756626796;10.469,09;374265088987
2003-03-25;10.420,62;377510452684;10.300,45;762946459910;10.361,17;49772406933;10.349,39;69058799258;10.359,53;977245676281;10.293,76;353281461165;10.500,19;375354313984
2003-03-26;10.355,76;376298159280;10.240,03;758486024139;10.312,57;49595805967;10.293,37;68740766542;10.302,03;971773140534;10.240,09;353282428641;10.437,26;373570276604
2003-03-27;10.365,68;378050750330;10.251,85;761222800656;10.325,97;49762689243;10.296,95;68749656663;10.331,53;977356270519;10.250,50;354500421207;10.455,49;377583229301
2003-03-28;10.381,42;379399643166;10.272,79;762770905994;10.358,21;49941154434;10.312,19;69055649721;10.346,30;990322278353;10.276,30;355373163381;10.470,20;378253325927
2003-03-29;10.381,42;379399643166;10.272,79;762770905994;10.358,21;49941154434;10.312,19;69055649721;10.346,30;990322278353;10.276,30;355373163381;10.470,20;378253325927
2003-03-30;10.381,42;379399643166;10.272,79;762770905994;10.358,21;49941154434;10.312,19;69055649721;10.346,30;990322278353;10.276,30;355373163381;10.470,20;378253325927
2003-03-31;10.369,42;379156395387;10.253,34;766494137065;10.350,12;49901333165;10.293,04;68926463571;10.325,11;988754897513;10.252,36;355901252576;10.441,80;378896256123
2003-04-01;10.382,39;379582250908;10.272,85;767912312999;10.361,90;49957630264;10.312,31;69055337680;10.351,83;991307815730;10.273,12;356591557022;10.458,74;379510748859
2003-04-02;10.346,63;378269819955;10.242,13;763958688964;10.342,18;49860113064;10.283,62;68862779739;10.312,80;987555080493;10.234,35;355242532356;10.430,32;378402690701
2003-04-03;10.317,98;377216992952;10.213,55;762098838734;10.324,49;49757584769;10.253,22;68659260619;10.282,94;984682530887;10.202,58;354142929585;10.404,37;377492060589
2003-04-04;10.361,06;377840601714;10.268,55;766253526592;10.372,70;49936616317;10.305,39;69009530503;10.335,71;989828357609;10.258,71;356286361845;10.459,65;379503392002
2003-04-05;10.361,06;377840601714;10.268,55;766253526592;10.372,70;49936616317;10.305,39;69009530503;10.335,71;989828357609;10.258,71;356286361845;10.459,65;379503392002
2003-04-06;10.361,06;377840601714;10.268,55;766253526592;10.372,70;49936616317;10.305,39;69009530503;10.335,71;989828357609;10.258,71;356286361845;10.459,65;379503392002
2003-04-07;10.383,17;378638457969;10.284,37;767393615834;10.381,48;49985187366;10.325,55;69144571871;10.342,50;990017564064;10.276,95;356913218476;10.472,12;379953089527
2003-04-08;10.387,55;378803904732;10.284,09;768020350126;10.365,77;49911651041;10.323,06;69127780759;10.339,74;989736775886;10.273,08;356572761144;10.475,05;380041188250
2003-04-09;10.427,25;380258702388;10.331,17;771508883166;10.408,11;50116290114;10.367,45;69424285579;10.383,00;993859924572;10.314,75;358145567782;10.523,02;381888595496
2003-04-10;10.436,02;380595612872;10.330,70;771398997610;10.423,80;50195805625;10.374,00;69467951632;10.390,90;994605085085;10.324,77;358488252079;10.522,90;381913227366
2003-04-11;10.471,82;381927652020;10.349,66;772863426502;10.460,57;50378166374;10.395,81;69642392851;10.413,96;996789737600;10.348,67;359365915619;10.543,10;382599561097
2003-04-12;10.471,82;381927652020;10.349,66;772863426502;10.460,57;50378166374;10.395,81;69642392851;10.413,96;996789737600;10.348,67;359365915619;10.543,10;382599561097
