
Valores Confirmados

Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2000-08-21;10.000,00;0;10.558,02;936956102;9.388,14;410352206;18.210,55;40795649;10.521,48;11741652;10.413,07;1654460165;10.482,49;582624774;10.537,24;209506813
2000-08-22;10.000,00;0;10.557,04;1052886514;9.386,47;410279328;18.240,20;40862065;10.523,42;11743819;10.418,13;1655264079;10.481,22;582553957;10.539,21;209545963
2000-08-23;10.000,00;0;10.553,87;1052571237;9.385,57;410239961;18.226,72;40831861;10.527,38;11748237;10.405,57;1653268825;10.484,62;582892067;10.535,19;209477525
2000-08-24;10.000,00;0;10.562,20;1053426989;9.388,83;410382535;18.262,62;40912282;10.530,29;11751485;10.411,97;1654285077;10.493,07;583446536;10.539,61;209619948
2000-08-25;10.000,00;0;10.551,37;1052362390;9.389,50;411383936;18.224,44;40826750;10.532,50;11753954;10.412,93;1654371212;10.494,39;583519852;10.535,76;209635649
2000-08-26;10.000,00;0;10.551,37;1052362390;9.389,50;411383936;18.224,44;40826750;10.532,50;11753954;10.412,93;1654371212;10.494,39;583519852;10.535,76;209635649
2000-08-27;10.000,00;0;10.551,37;1052362390;9.389,50;411383936;18.224,44;40826750;10.532,50;11753954;10.412,93;1654371212;10.494,39;583519852;10.535,76;209635649
2000-08-28;10.000,00;0;10.566,47;1053883580;9.395,61;411651815;18.241,48;40864919;10.540,95;11763384;10.418,56;1655265846;10.499,38;583815557;10.548,72;209893528
2000-08-29;10.000,00;0;10.562,48;1053678786;9.394,20;411590032;18.262,04;40963757;10.543,35;11766057;10.414,41;1654606070;10.499,77;583951944;10.551,96;209957937
2000-08-30;10.000,00;0;10.689,68;1066368380;9.424,37;412925201;18.313,30;41078752;10.547,89;11831255;10.442,89;1665653447;10.515,40;585097391;10.580,21;210519947
2000-08-31;10.000,00;0;10.690,02;1067037319;9.427,21;413049397;18.328,07;41111871;10.550,85;11834572;10.445,45;1666060888;10.517,11;585178414;10.587,14;210657892
2000-09-01;10.000,00;0;10.695,97;1067631179;9.422,24;412831514;18.338,90;41136173;10.548,11;11831499;10.447,38;1593535872;10.520,70;585377942;10.588,64;210687868
2000-09-02;10.000,00;0;10.695,97;1067631179;9.422,24;412831514;18.338,90;41136173;10.548,11;11831499;10.447,38;1593535872;10.520,70;585377942;10.588,64;210687868
2000-09-03;10.000,00;0;10.695,97;1067631179;9.422,24;412831514;18.338,90;41136173;10.548,11;11831499;10.447,38;1593535872;10.520,70;585377942;10.588,64;210687868
2000-09-04;10.000,00;0;10.695,97;1067631179;9.422,24;412831514;18.338,90;41136173;10.548,11;11831499;10.447,38;1593535872;10.520,70;585377942;10.588,64;210687868
2000-09-05;10.000,00;0;10.699,43;1067976713;9.430,68;413201606;18.335,75;41129108;10.560,05;11844895;10.462,29;1595808808;10.529,26;585854272;10.606,29;211038996
2000-09-06;10.000,00;0;10.702,66;1068298899;9.428,16;413091124;18.357,52;41177930;10.563,35;11848589;10.470,97;1597133197;10.527,97;585782836;10.615,74;211226925
2000-09-07;10.000,00;0;10.703,40;1060488534;9.431,30;413228456;18.360,76;41185198;10.567,25;11634749;10.496,75;1588830521;10.534,13;580931029;10.636,90;210627630
2000-09-08;10.000,00;0;10.683,80;1058547004;9.431,47;410871943;18.281,86;40875679;10.568,75;11636409;10.493,58;1588351489;10.535,04;580914147;10.621,31;210318770
2000-09-09;10.000,00;0;10.683,80;1058547004;9.431,47;410871943;18.281,86;40875679;10.568,75;11636409;10.493,58;1588351489;10.535,04;580914147;10.621,31;210318770
2000-09-10;10.000,00;0;10.683,80;1058547004;9.431,47;410871943;18.281,86;40875679;10.568,75;11636409;10.493,58;1588351489;10.535,04;580914147;10.621,31;210318770
2000-09-11;10.000,00;0;10.701,82;1060332135;9.449,17;411643001;18.305,97;40929586;10.576,99;11645479;10.459,90;1583252694;10.547,40;581561673;10.588,80;209674982
2000-09-12;10.000,00;0;10.700,18;1060170018;9.444,11;411422868;18.300,37;40917065;10.581,77;11650741;10.489,07;1587762767;10.544,62;581408314;10.584,42;209588352
2000-09-13;10.000,00;0;10.704,58;1061330232;9.437,96;411169059;18.318,46;40957502;10.585,31;11654638;10.472,61;1585271695;10.541,99;581263456;10.570,55;209313729
2000-09-14;10.000,00;0;10.722,24;1063080432;9.440,09;411261877;18.374,62;41083076;10.586,76;23079250;10.470,21;1584907731;10.542,22;581430911;10.565,03;284684220
2000-09-15;10.000,00;0;10.722,47;1063103761;9.449,84;461934297;18.372,89;41079199;10.606,50;23122270;10.463,21;1694074854;10.552,45;605867290;10.590,52;285371032
2000-09-16;10.000,00;0;10.722,47;1063103761;9.449,84;461934297;18.372,89;41079199;10.606,50;23122270;10.463,21;1694074854;10.552,45;605867290;10.590,52;285371032
2000-09-17;10.000,00;0;10.722,47;1063103761;9.449,84;461934297;18.372,89;41079199;10.606,50;23122270;10.463,21;1694074854;10.552,45;605867290;10.590,52;285371032
2000-09-18;10.000,00;0;10.722,47;1063103761;9.449,84;461934297;18.372,89;41079199;10.606,50;23122270;10.463,21;1694074854;10.552,45;605867290;10.590,52;285371032
2000-09-19;10.000,00;0;10.722,47;1063103761;9.449,84;461934297;18.372,89;41079199;10.606,50;23122270;10.463,21;1694074854;10.552,45;605867290;10.590,52;285371032
2000-09-20;10.000,00;0;10.735,99;1064443873;9.472,20;462023911;18.406,45;41154239;10.621,55;23155085;10.479,10;1696646842;10.570,58;606908547;10.608,36;285851686
2000-09-21;10.000,00;0;10.725,77;1063431011;9.467,56;461797712;18.346,95;41021218;10.626,85;23166633;10.476,48;1697471474;10.572,33;607073607;10.604,83;285756477
2000-09-22;10.000,00;0;10.734,29;1064276029;9.447,23;461722353;18.419,50;41183427;10.615,95;23142877;10.471,83;1696718125;10.566,43;606773787;10.599,84;285859645
2000-09-23;10.000,00;0;10.734,29;1064276029;9.447,23;461722353;18.419,50;41183427;10.615,95;23142877;10.471,83;1696718125;10.566,43;606773787;10.599,84;285859645
2000-09-24;10.000,00;0;10.734,29;1064276029;9.447,23;461722353;18.419,50;41183427;10.615,95;23142877;10.471,83;1696718125;10.566,43;606773787;10.599,84;285859645
2000-09-25;10.000,00;0;10.749,10;1065744165;9.454,47;462076229;18.460,11;41274221;10.628,38;23169983;10.478,24;1697757634;10.574,81;607439661;10.609,61;286123264
2000-09-26;10.000,00;0;10.734,70;1064259492;9.458,27;462262357;18.357,42;41044625;10.629,26;23171897;10.484,96;1698846008;10.577,13;607572883;10.614,69;286320177
2000-09-27;10.000,00;0;10.747,34;1065617284;9.453,41;462024713;18.434,70;41217413;10.620,26;23152265;10.483,00;1698528223;10.583,89;608194255;10.614,64;286461847
2000-09-28;10.000,00;0;10.749,16;1066039931;9.455,17;462246342;18.435,68;41272871;10.626,97;23166910;10.487,98;1705708811;10.585,39;608302152;10.623,45;286599426
2000-09-29;10.000,00;0;10.753,15;1066938251;9.462,59;462608981;18.445,76;41295446;10.636,25;23187141;10.480,75;1704533910;10.587,48;608620154;10.611,57;286278848
2000-09-30;10.000,00;0;10.753,15;1066938251;9.462,59;462608981;18.445,76;41295446;10.636,25;23187141;10.480,75;1704533910;10.587,48;608620154;10.611,57;286278848
2000-10-01;10.000,00;0;10.753,15;1066938251;9.462,59;462608981;18.445,76;41295446;10.636,25;23187141;10.480,75;1704533910;10.587,48;608620154;10.611,57;286278848
2000-10-02;10.000,00;0;10.761,41;1067757790;9.493,76;464132921;18.444,37;41292344;10.656,29;23230825;10.491,91;1706348435;10.599,12;609288859;10.621,50;286546711
2000-10-03;10.000,00;0;10.765,79;1068191745;9.494,85;464186052;18.444,32;41292220;10.657,36;23233150;10.486,87;1705529500;10.604,31;609587519;10.616,77;309416520
2000-10-04;10.000,00;0;10.774,00;1069006801;9.501,75;464523422;18.452,71;41311005;10.655,13;23228282;10.483,64;1705002983;10.614,66;610182353;10.619,68;309501207
2000-10-05;10.000,00;0;10.775,16;1069121781;9.503,01;464585212;18.452,60;41310764;10.657,22;23232849;10.550,02;1686483005;10.617,88;610367727;10.672,12;311029689
2000-10-06;10.000,00;0;10.777,03;1069307256;9.511,33;464991679;18.465,55;41339745;10.674,47;23270445;10.546,91;1685985554;10.616,41;605059160;10.674,74;311105983
