
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-03-07;21.020,08;931145842486;22.439,54;934187967556;19.877,13;1200434088329;36.550,07;93987680313;21.096,81;869639822837
2009-03-08;21.020,08;931145842486;22.439,54;934187967556;19.877,13;1200434088329;36.550,07;93987680313;21.096,81;869639822837
2009-03-09;21.026,87;934900391945;22.448,48;938299120040;19.878,63;1204527708897;36.575,90;94479551368;21.115,18;873453117511
2009-03-10;21.045,79;938407304106;22.455,69;941407122451;19.896,47;1210051850277;36.602,76;94460040642;21.130,72;876654144264
2009-03-11;21.070,68;942426793520;22.485,10;948409914925;19.894,59;1213408882497;36.609,44;94871278638;21.141,33;880032920551
2009-03-12;21.091,30;946042444973;22.499,19;954263626204;19.913,79;1217944032382;36.637,31;94947528722;21.154,91;883359291461
2009-03-13;21.086,96;950200364443;22.517,37;962667492441;19.930,11;1224379147533;36.642,12;94816505968;21.149,18;886126181955
2009-03-14;21.086,96;950200364443;22.517,37;962667492441;19.930,11;1224379147533;36.642,12;94816505968;21.149,18;886126181955
2009-03-15;21.086,96;950200364443;22.517,37;962667492441;19.930,11;1224379147533;36.642,12;94816505968;21.149,18;886126181955
2009-03-16;21.136,54;957774912653;22.553,05;975459588323;19.970,83;1232570393375;36.697,48;93949657849;21.183,14;895011872559
2009-03-17;21.080,46;961155264465;22.510,41;978513626488;19.948,19;1239249172759;36.645,34;95187683172;21.130,70;900343403507
2009-03-18;21.009,38;963643529385;22.440,51;982987758445;19.908,35;1245143265454;36.542,27;95840903505;21.046,53;904608519941
2009-03-19;21.027,08;969589186185;22.437,99;993673847657;19.926,71;1251507600812;36.586,46;96927996012;21.077,82;911371904308
2009-03-20;21.009,61;972975459925;22.428,74;1002974231515;19.916,95;1259711340391;36.577,83;96934971665;21.075,37;918289301251
2009-03-21;21.009,61;972975459925;22.428,74;1002974231515;19.916,95;1259711340391;36.577,83;96934971665;21.075,37;918289301251
2009-03-22;21.009,61;972975459925;22.428,74;1002974231515;19.916,95;1259711340391;36.577,83;96934971665;21.075,37;918289301251
2009-03-23;20.984,43;974814263053;22.408,65;1008271707399;19.904,63;1266738790787;36.523,86;98040627125;21.042,84;922834714487
2009-03-24;20.931,52;975953662269;22.358,85;1010413335120;19.893,95;1270578824753;36.479,92;97924311870;20.988,10;924789166747
2009-03-25;20.903,77;977643450624;22.338,85;1016108790885;19.885,36;1274692754013;36.469,75;98540074667;20.985,24;927292506347
2009-03-26;20.987,29;984417926422;22.408,09;1023324747407;19.928,54;1282286934277;36.525,08;98714792673;21.050,88;934409414188
2009-03-27;20.965,43;984340370024;22.383,27;1024357783959;19.919,29;1285451201632;36.492,00;99241476404;21.024,67;935954205643
2009-03-28;20.965,43;984340370024;22.383,27;1024357783959;19.919,29;1285451201632;36.492,00;99241476404;21.024,67;935954205643
2009-03-29;20.965,43;984340370024;22.383,27;1024357783959;19.919,29;1285451201632;36.492,00;99241476404;21.024,67;935954205643
2009-03-30;20.980,91;983557792721;22.399,33;1028682072207;19.913,38;1284521141758;36.514,66;99313379264;21.028,00;936324778328
2009-03-31;20.952,30;982857773209;22.381,91;1027558468704;19.895,17;1283505889138;36.484,64;99226756680;20.998,10;936567957951
2009-04-01;20.942,07;984452912091;22.373,66;1031729235729;19.885,99;1290985241735;36.476,57;98083651855;20.985,59;942401975172
2009-04-02;20.935,26;983669096404;22.371,01;1030671286779;19.892,34;1289433474819;36.472,92;100388650965;20.981,58;942252811906
2009-04-03;20.911,04;983827855980;22.338,38;1027816913607;19.880,71;1290468052566;36.446,99;100098756148;20.964,63;942962686547
2009-04-04;20.911,04;983827855980;22.338,38;1027816913607;19.880,71;1290468052566;36.446,99;100098756148;20.964,63;942962686547
2009-04-05;20.911,04;983827855980;22.338,38;1027816913607;19.880,71;1290468052566;36.446,99;100098756148;20.964,63;942962686547
2009-04-06;20.889,42;983848921002;22.316,60;1025038922700;19.873,71;1291684863645;36.430,70;100465433160;20.937,52;943292714725
2009-04-07;20.914,62;985314825430;22.336,46;1026153972126;19.890,20;1293896287008;36.461,58;100551388577;20.957,12;943914611300
2009-04-08;20.936,55;984791940723;22.353,16;1027406565091;19.905,79;1294839441016;36.486,83;100960963826;20.980,00;944661029799
2009-04-09;20.959,19;983092840230;22.373,00;1028318845424;19.923,02;1292050094168;36.509,38;101022160648;21.012,84;944871667244
2009-04-10;20.959,19;983092840230;22.373,00;1028318845424;19.923,02;1292050094168;36.509,38;101022160648;21.012,84;944871667244
2009-04-11;20.959,19;983092840230;22.373,00;1028318845424;19.923,02;1292050094168;36.509,38;101022160648;21.012,84;944871667244
2009-04-12;20.959,19;983092840230;22.373,00;1028318845424;19.923,02;1292050094168;36.509,38;101022160648;21.012,84;944871667244
2009-04-13;20.992,97;982816299045;22.413,54;1028655715019;19.960,85;1293124350995;36.559,20;101458760079;21.048,19;945805967976
2009-04-14;21.010,11;983261299541;22.436,62;1025741534614;19.973,94;1296360108212;36.584,43;101536937836;21.062,34;946976459504
2009-04-15;21.011,59;986891427343;22.425,01;1029268085508;19.975,75;1305675025326;36.564,97;100286225548;21.058,63;952675655355
2009-04-16;21.029,77;986699499417;22.438,08;1030341048142;19.996,00;1307936160617;36.575,29;103136123796;21.073,07;952904760991
2009-04-17;21.036,72;982670026544;22.449,00;1032031736836;19.999,17;1307085478653;36.581,05;103479462816;21.077,10;951900120334
2009-04-18;21.036,72;982670026544;22.449,00;1032031736836;19.999,17;1307085478653;36.581,05;103479462816;21.077,10;951900120334
