
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2013-04-02;24.717,51;3096717197379;25.576,45;2848852964475;25.495,68;4067692888033;24.619,70;238522822796;25.149,07;340390093643;24.508,84;3771030413227
2013-04-03;24.716,25;3095857137245;25.571,68;2847533087292;25.492,74;4066297748293;24.614,21;238464583584;25.138,82;340118034686;24.505,61;3770111657523
2013-04-04;24.586,86;3079200257717;25.441,78;2830354917355;25.354,41;4042121738214;24.491,30;237327248480;25.018,63;338486078796;24.377,32;3749960304368
2013-04-05;24.541,47;3073427589957;25.392,79;2824075292510;25.305,31;4032732832692;24.438,49;236905793293;24.967,04;337796438141;24.338,88;3743394736901
2013-04-06;24.541,47;3073427589957;25.392,79;2824075292510;25.305,31;4032732832692;24.438,49;236905793293;24.967,04;337796438141;24.338,88;3743394736901
2013-04-07;24.541,47;3073427589957;25.392,79;2824075292510;25.305,31;4032732832692;24.438,49;236905793293;24.967,04;337796438141;24.338,88;3743394736901
2013-04-08;24.363,04;3051166857930;25.212,60;2803299665537;25.136,65;4005184866805;24.260,23;235190859380;24.779,48;335245510259;24.171,53;3717269779937
2013-04-09;24.383,78;3040455200176;25.235,05;2785255545894;25.159,98;3983508275296;24.280,59;234538167293;24.803,10;335297066179;24.193,82;3716565473240
2013-04-10;24.455,73;3033145685060;25.311,84;2771024573597;25.246,89;3972143797512;24.379,59;235010719384;24.882,97;335777199074;24.275,88;3717098316090
2013-04-11;24.628,18;3039256678041;25.490,58;2760120367650;25.425,52;3978240758243;24.551,85;236351249308;25.059,10;338063574631;24.454,63;3729904180626
2013-04-12;24.662,39;3031346477965;25.524,53;2741065002982;25.458,95;3962356355308;24.578,44;237398364328;25.089,83;338808278735;24.487,51;3734083165244
2013-04-13;24.662,39;3031346477965;25.524,53;2741065002982;25.458,95;3962356355308;24.578,44;237398364328;25.089,83;338808278735;24.487,51;3734083165244
2013-04-14;24.662,39;3031346477965;25.524,53;2741065002982;25.458,95;3962356355308;24.578,44;237398364328;25.089,83;338808278735;24.487,51;3734083165244
2013-04-15;24.621,25;3028050177915;25.479,76;2710879162561;25.414,59;3936154929751;24.517,93;239731756147;25.045,59;338352643561;24.438,15;3730852446435
2013-04-16;24.449,56;3009699555676;25.303,08;2661053276816;25.213,23;3879828075377;24.328,41;240078202830;24.870,52;332961510414;24.250,15;3703579803050
2013-04-17;24.503,19;3015647464946;25.361,19;2661947272062;25.291,47;3871538409347;24.399,32;241202123269;24.938,05;335862027336;24.323,24;3716478519719
2013-04-18;24.397,32;3001248818261;25.255,75;2647871015052;25.176,97;3852917990271;24.273,21;239253928941;24.838,12;334052150323;24.224,09;3700610227989
2013-04-19;24.454,78;3005864388307;25.327,04;2652702816569;25.229,98;3858908623215;24.344,38;240047842277;24.902,21;334952526362;24.280,08;3708153412271
2013-04-20;24.454,78;3005864388307;25.327,04;2652702816569;25.229,98;3858908623215;24.344,38;240047842277;24.902,21;334952526362;24.280,08;3708153412271
2013-04-21;24.454,78;3005864388307;25.327,04;2652702816569;25.229,98;3858908623215;24.344,38;240047842277;24.902,21;334952526362;24.280,08;3708153412271
2013-04-22;24.608,58;3022574875188;25.485,01;2665656427705;25.402,70;3883030002578;24.505,76;241530014959;25.060,41;337033128553;24.439,98;3731911758111
2013-04-23;24.664,74;3027413286872;25.543,60;2668963670412;25.465,52;3889502639401;24.553,87;242075649838;25.121,02;337752308444;24.499,56;3740314517163
2013-04-24;24.670,46;3026774871254;25.553,32;2667058091532;25.479,41;3890702410043;24.568,10;241995100903;25.130,39;337713745632;24.514,60;3741239006129
2013-04-25;24.687,17;3028082564468;25.574,99;2665586744778;25.502,89;3891991637185;24.587,26;242345348671;25.142,24;337666180471;24.528,50;3743228403386
2013-04-26;24.707,30;3030322673553;25.597,18;2664943019444;25.530,49;3893852579421;24.619,16;243794965430;25.159,27;337776428606;24.555,04;3746417261448
2013-04-27;24.707,30;3030322673553;25.597,18;2664943019444;25.530,49;3893852579421;24.619,16;243794965430;25.159,27;337776428606;24.555,04;3746417261448
2013-04-28;24.707,30;3030322673553;25.597,18;2664943019444;25.530,49;3893852579421;24.619,16;243794965430;25.159,27;337776428606;24.555,04;3746417261448
2013-04-29;24.681,48;3026039938375;25.561,88;2659958161943;25.504,27;3888096666990;24.560,41;243615744765;25.135,98;337553263513;24.527,97;3741931188486
2013-04-30;24.676,75;3019920654499;25.550,83;2661076120469;25.512,37;3879832742768;24.581,32;243942875608;25.140,96;336903320095;24.534,02;3727223682988
2013-05-01;24.676,75;3019920654499;25.550,83;2661076120469;25.512,37;3879832742768;24.581,32;243942875608;25.140,96;336903320095;24.534,02;3727223682988
2013-05-02;24.714,46;3024219684669;25.589,92;2667935149872;25.543,82;3883013032852;24.624,24;245094099636;25.179,38;333683893716;24.554,62;3726216898438
2013-05-03;24.787,37;3033113367919;25.666,09;2677102379708;25.630,95;3898333082823;24.703,72;245941377803;25.260,77;337316320020;24.642,68;3739838639796
2013-05-04;24.787,37;3033113367919;25.666,09;2677102379708;25.630,95;3898333082823;24.703,72;245941377803;25.260,77;337316320020;24.642,68;3739838639796
2013-05-05;24.787,37;3033113367919;25.666,09;2677102379708;25.630,95;3898333082823;24.703,72;245941377803;25.260,77;337316320020;24.642,68;3739838639796
2013-05-06;24.835,93;3038821931973;25.711,59;2681294725258;25.679,68;3904881251785;24.764,61;246604372390;25.303,97;337865523196;24.696,53;3748406849734
2013-05-07;24.869,03;3043038132427;25.749,41;2684717352542;25.716,98;3910578405407;24.802,05;246981304142;25.340,51;338363626663;24.730,88;3754557232385
2013-05-08;24.960,34;3053971686865;25.837,89;2693774835049;25.805,40;3924176464520;24.897,09;247928504411;25.429,80;339524150633;24.811,16;3766783874311
2013-05-09;25.062,16;3067249240863;25.936,65;2704684361551;25.909,70;3944412113641;24.984,04;249339040925;25.535,58;340929664416;24.910,64;3782081927176
2013-05-10;25.065,47;3067984570662;25.939,68;2705915679628;25.901,16;3944590808799;24.970,83;249724594024;25.527,88;340912604096;24.908,91;3782993169921
2013-05-11;25.065,47;3067984570662;25.939,68;2705915679628;25.901,16;3944590808799;24.970,83;249724594024;25.527,88;340912604096;24.908,91;3782993169921
2013-05-12;25.065,47;3067984570662;25.939,68;2705915679628;25.901,16;3944590808799;24.970,83;249724594024;25.527,88;340912604096;24.908,91;3782993169921
2013-05-13;25.067,78;3070212868948;25.946,68;2707616531268;25.913,01;3948018519098;24.966,05;250792355128;25.538,41;341160390872;24.919,03;3787493409401
2013-05-14;25.022,58;3070999123040;25.902,38;2708516953244;25.875,97;3948749510040;24.910,09;251411306152;25.491,60;341380186809;24.883,04;3786527045186
2013-05-15;25.086,76;3081993437827;25.962,78;2719467302633;25.941,88;3970193391594;24.976,23;259557435268;25.562,01;339596547379;24.953,57;3804842473006
2013-05-16;25.124,87;3087198059990;26.007,19;2725311275515;25.986,39;3978277002497;25.018,83;260316448708;25.608,10;342338393648;24.995,17;3812193852036
2013-05-17;25.086,14;3082305829112;25.970,36;2720880307105;25.946,09;3972507565066;24.981,34;259799652943;25.572,28;341917070991;24.958,89;3806060314375
2013-05-18;25.086,14;3082305829112;25.970,36;2720880307105;25.946,09;3972507565066;24.981,34;259799652943;25.572,28;341917070991;24.958,89;3806060314375
2013-05-19;25.086,14;3082305829112;25.970,36;2720880307105;25.946,09;3972507565066;24.981,34;259799652943;25.572,28;341917070991;24.958,89;3806060314375
2013-05-20;25.109,48;3085527939960;25.989,30;2723571417018;25.976,17;3976687307319;25.006,39;260104204336;25.602,93;342364215340;24.988,17;3810921915926
