
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-03-24;16.348,25;1482989058400;16.775,84;1030623068911;16.910,71;1412141918327;16.387,63;300770252256;16.314,67;2149683789640
2009-03-25;16.323,46;1481907200171;16.762,36;1030958856153;16.889,00;1411946581951;16.368,70;300559961152;16.291,81;2146459117794
2009-03-26;16.354,84;1485757298608;16.797,40;1034375578916;16.917,59;1414036842764;16.395,12;301101209238;16.342,93;2154032053170
2009-03-27;16.364,59;1487753798527;16.812,66;1036720202600;16.936,86;1416627971219;16.409,00;301512509842;16.351,29;2155772781050
2009-03-28;16.364,59;1487753798527;16.812,66;1036720202600;16.936,86;1416627971219;16.409,00;301512509842;16.351,29;2155772781050
2009-03-29;16.364,59;1487753798527;16.812,66;1036720202600;16.936,86;1416627971219;16.409,00;301512509842;16.351,29;2155772781050
2009-03-30;16.344,99;1484807207503;16.792,94;1037280237911;16.895,15;1414493101254;16.376,56;300968068548;16.327,32;2152967564673
2009-03-31;16.263,33;1491069723614;16.708,67;1039797523479;16.815,54;1418725926240;16.304,98;301877611434;16.241,39;2142571676082
2009-04-01;16.257,84;1490488306404;16.719,49;1040797854579;16.831,06;1422311611541;16.321,33;301698238993;16.253,73;2144740491176
2009-04-02;16.280,73;1493508648759;16.748,30;1042436283800;16.858,38;1423121857311;16.337,49;302576190368;16.272,30;2146910799005
2009-04-03;16.328,54;1497990175319;16.804,96;1046374565463;16.916,97;1429171269180;16.399,84;303212264441;16.326,53;2171678002588
2009-04-04;16.328,54;1497990175319;16.804,96;1046374565463;16.916,97;1429171269180;16.399,84;303212264441;16.326,53;2171678002588
2009-04-05;16.328,54;1497990175319;16.804,96;1046374565463;16.916,97;1429171269180;16.399,84;303212264441;16.326,53;2171678002588
2009-04-06;16.337,80;1498803257358;16.816,91;1046952316296;16.939,06;1431299796798;16.430,47;303709084917;16.332,94;2172935425601
2009-04-07;16.343,52;1499081786490;16.821,19;1047665677673;16.942,71;1430996916914;16.436,32;303789742636;16.338,53;2174169548462
2009-04-08;16.331,13;1498449152192;16.800,67;1046104130311;16.931,58;1429929587479;16.411,90;303056306080;16.322,50;2172015659695
2009-04-09;16.355,36;1500480627445;16.818,81;1047124894917;16.951,44;1432209719580;16.428,65;303392884713;16.346,59;2167496532266
2009-04-10;16.355,36;1500480627445;16.818,81;1047124894917;16.951,44;1432209719580;16.428,65;303392884713;16.346,59;2167496532266
2009-04-11;16.355,36;1500480627445;16.818,81;1047124894917;16.951,44;1432209719580;16.428,65;303392884713;16.346,59;2167496532266
2009-04-12;16.355,36;1500480627445;16.818,81;1047124894917;16.951,44;1432209719580;16.428,65;303392884713;16.346,59;2167496532266
2009-04-13;16.429,14;1502152584146;16.895,80;1051271672173;17.022,88;1434473535963;16.489,76;302869071123;16.414,75;2175339195517
2009-04-14;16.466,47;1506195491559;16.933,43;1053818052286;17.064,33;1438592289320;16.534,99;303735624815;16.452,04;2180730286250
2009-04-15;16.479,67;1508401268918;16.943,72;1056454075379;17.078,95;1442039472767;16.546,44;303113133321;16.460,88;2183277891351
2009-04-16;16.505,68;1512021895333;16.964,55;1057837001377;17.103,34;1444951908998;16.556,44;303819352807;16.480,22;2186359564255
2009-04-17;16.535,97;1515272274358;17.007,02;1061979203637;17.129,64;1447376494441;16.580,25;304688853283;16.508,50;2190817731539
2009-04-18;16.535,97;1515272274358;17.007,02;1061979203637;17.129,64;1447376494441;16.580,25;304688853283;16.508,50;2190817731539
2009-04-19;16.535,97;1515272274358;17.007,02;1061979203637;17.129,64;1447376494441;16.580,25;304688853283;16.508,50;2190817731539
2009-04-20;16.559,94;1518080056451;17.032,41;1065027207357;17.146,01;1449891731649;16.599,63;305165685087;16.530,48;2198328199972
2009-04-21;16.521,96;1515030376565;16.999,43;1062472859683;17.107,29;1446486606967;16.566,83;304820179478;16.492,96;2194074128583
2009-04-22;16.544,72;1517536928251;17.032,65;1064619184849;17.132,87;1448432108692;16.582,78;305314543294;16.518,07;2197747527528
2009-04-23;16.562,44;1519967983093;17.044,62;1065997498597;17.148,73;1449256470988;16.607,37;305881795070;16.532,38;2199825289753
2009-04-24;16.575,75;1521636900647;17.061,10;1065945231295;17.167,45;1450758298057;16.623,05;306336153549;16.543,63;2201772674840
2009-04-25;16.575,75;1521636900647;17.061,10;1065945231295;17.167,45;1450758298057;16.623,05;306336153549;16.543,63;2201772674840
