
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-03-02;19.178,70;909431700176;19.150,90;1459955019607;18.431,12;1345864055594;17.600,22;183744049778;19.199,22;1486375608650;18.399,88;522168498645
2006-03-03;19.247,11;914215224202;19.218,65;1467091592761;18.497,53;1350358645417;17.668,59;184457874434;19.272,01;1492161061166;18.468,92;524104683143
2006-03-04;19.247,11;914215224202;19.218,65;1467091592761;18.497,53;1350358645417;17.668,59;184457874434;19.272,01;1492161061166;18.468,92;524104683143
2006-03-05;19.247,11;914215224202;19.218,65;1467091592761;18.497,53;1350358645417;17.668,59;184457874434;19.272,01;1492161061166;18.468,92;524104683143
2006-03-06;19.285,99;916055738395;19.260,30;1471095506238;18.532,24;1353303460436;17.699,87;184810091120;19.307,11;1505745032033;18.505,31;525123433625
2006-03-07;19.296,63;916552745906;19.262,77;1472150510193;18.537,11;1353636268908;17.700,78;186423236957;19.310,44;1505823764950;18.496,44;524860051614
2006-03-08;19.260,73;917039690711;19.225,04;1470198630571;18.488,31;1349861806215;17.674,46;186143806182;19.272,39;1502897237626;18.469,12;524146466870
2006-03-09;19.136,96;911246461711;19.107,52;1462211999471;18.358,33;1345916540018;17.556,25;184896006580;19.131,30;1491613321955;18.346,84;520666307755
2006-03-10;18.935,82;903064616219;18.915,10;1447945286631;18.177,92;1332840520297;17.369,38;182926286721;18.925,60;1475515757894;18.142,22;514888463332
2006-03-11;18.935,82;903064616219;18.915,10;1447945286631;18.177,92;1332840520297;17.369,38;182926286721;18.925,60;1475515757894;18.142,22;514888463332
2006-03-12;18.935,82;903064616219;18.915,10;1447945286631;18.177,92;1332840520297;17.369,38;182926286721;18.925,60;1475515757894;18.142,22;514888463332
2006-03-13;18.949,00;903706106961;18.927,89;1449597725191;18.185,13;1333384952146;17.387,39;183114225941;18.941,58;1476686803277;18.167,17;515654161843
