
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-02-15;10.378,49;459533998695;10.180,84;646751993886;10.160,13;97398222320;10.249,36;78780716733;10.186,63;824397944960;10.169,83;348607287516;10.321,14;288271989774
2003-02-16;10.378,49;459533998695;10.180,84;646751993886;10.160,13;97398222320;10.249,36;78780716733;10.186,63;824397944960;10.169,83;348607287516;10.321,14;288271989774
2003-02-17;10.350,38;459195731883;10.167,91;646371498783;10.167,06;97413221602;10.243,17;78757054535;10.177,23;823769378113;10.160,28;348377810456;10.305,85;287911079300
2003-02-18;10.327,86;458240919302;10.157,22;645866352186;10.160,19;97348474971;10.234,08;78724168796;10.167,68;823117918017;10.146,16;347884775370;10.294,26;287648023847
2003-02-19;10.354,14;459481954662;10.182,88;646534349326;10.196,03;97717397455;10.269,55;79022592136;10.204,26;826057274101;10.185,62;349410299078;10.317,80;288394529505
2003-02-20;10.396,70;461824711686;10.220,80;648895278678;10.212,70;97970262026;10.293,79;79245856931;10.237,93;828866818961;10.210,65;350247490136;10.356,41;289606290546
2003-02-21;10.391,56;461675033705;10.212,27;648631812053;10.209,49;97876327133;10.282,54;79214138853;10.227,89;828475901191;10.204,28;350242128356;10.348,29;289579200982
2003-02-22;10.391,56;461675033705;10.212,27;648631812053;10.209,49;97876327133;10.282,54;79214138853;10.227,89;828475901191;10.204,28;350242128356;10.348,29;289579200982
2003-02-23;10.391,56;461675033705;10.212,27;648631812053;10.209,49;97876327133;10.282,54;79214138853;10.227,89;828475901191;10.204,28;350242128356;10.348,29;289579200982
2003-02-24;10.397,46;462451990575;10.229,29;649624751234;10.235,29;98337683163;10.302,54;79422894422;10.243,89;832476950874;10.218,12;350802044513;10.361,05;290906263985
2003-02-25;10.406,81;463051645632;10.241,71;651716685988;10.226,55;98291524457;10.308,11;79544755423;10.257,12;833688466961;10.232,39;351204125874;10.369,04;291133617468
2003-02-26;10.402,57;461920707180;10.245,76;657192930252;10.223,34;97564425961;10.307,90;79942756736;10.259,18;834002396959;10.233,11;351333083110;10.371,40;292378810061
2003-02-27;10.400,78;462127614543;10.238,21;656829410091;10.234,31;97766595504;10.310,59;80050671730;10.254,12;836971374697;10.229,95;351382021227;10.367,84;292282302790
2003-02-28;10.422,49;463636755026;10.242,09;658944887392;10.254,48;98336060402;10.324,98;80414689434;10.271,39;838433469018;10.239,32;352374759189;10.385,95;293435289439
2003-03-01;10.422,49;463636755026;10.242,09;658944887392;10.254,48;98336060402;10.324,98;80414689434;10.271,39;838433469018;10.239,32;352374759189;10.385,95;293435289439
2003-03-02;10.422,49;463636755026;10.242,09;658944887392;10.254,48;98336060402;10.324,98;80414689434;10.271,39;838433469018;10.239,32;352374759189;10.385,95;293435289439
2003-03-03;10.428,14;465051552111;10.238,89;658777403071;10.255,16;98331519902;10.320,35;80377352464;10.260,81;837484992833;10.231,00;351888042585;10.380,58;293275846489
2003-03-04;10.442,87;465688745616;10.253,85;659582345339;10.259,56;98329794404;10.328,96;80439038192;10.275,63;838387811677;10.242,40;352265824937;10.395,27;293691990779
2003-03-05;10.483,65;467140993325;10.303,35;662788854133;10.313,56;98858562613;10.385,15;80892862330;10.330,27;842490255523;10.295,53;354022528178;10.436,28;299369785088
2003-03-06;10.494,24;467327701280;10.327,27;663986214760;10.310,98;98564858310;10.397,61;80991079070;10.343,04;843673477717;10.305,26;354341606313;10.446,08;298808946829
2003-03-07;10.488,56;467159514529;10.323,35;663762584739;10.343,01;98333446168;10.402,67;80728649367;10.347,92;843725187401;10.308,52;354470350352;10.452,37;297361373237
2003-03-08;10.488,56;467159514529;10.323,35;663762584739;10.343,01;98333446168;10.402,67;80728649367;10.347,92;843725187401;10.308,52;354470350352;10.452,37;297361373237
2003-03-09;10.488,56;467159514529;10.323,35;663762584739;10.343,01;98333446168;10.402,67;80728649367;10.347,92;843725187401;10.308,52;354470350352;10.452,37;297361373237
2003-03-10;10.516,18;469208859552;10.334,14;664410362596;10.348,65;98362650985;10.411,79;80714547230;10.359,35;844767995493;10.322,60;354767432016;10.468,52;297796889544
2003-03-11;10.508,11;468542034735;10.319,14;662670895746;10.358,50;98468888404;10.403,88;80685998371;10.348,43;843405448339;10.319,32;354705895236;10.459,31;297734608233
