
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-02-13;14.415,53;401716488711;12.462,04;469082907225;24.025,25;63560461751;13.850,12;14698686860;13.691,57;322402084463;13.661,11;129312599205;14.227,50;104758198753
2003-02-14;14.396,62;401180525546;12.450,82;469221999177;23.957,66;63441387239;13.812,24;14658178008;13.665,19;321895275142;13.632,08;129041394511;14.209,38;105147073556
2003-02-15;14.396,62;401180525546;12.450,82;469221999177;23.957,66;63441387239;13.812,24;14658178008;13.665,19;321895275142;13.632,08;129041394511;14.209,38;105147073556
2003-02-16;14.396,62;401180525546;12.450,82;469221999177;23.957,66;63441387239;13.812,24;14658178008;13.665,19;321895275142;13.632,08;129041394511;14.209,38;105147073556
2003-02-17;14.392,25;401045294817;12.438,55;468975258140;23.977,40;63496806033;13.806,04;14651594707;13.662,19;322030501430;13.626,66;129004298846;14.191,21;105023493047
2003-02-18;14.378,51;400839231724;12.435,45;468891252347;23.941,80;63402276234;13.806,42;14651612757;13.654,58;321834585936;13.618,99;128964165513;14.180,32;104929357159
2003-02-19;14.402,71;401417001870;12.465,70;470692476078;24.001,32;63572670204;13.861,20;14709746736;13.703,59;323004594562;13.669,80;129638084398;14.215,95;105190009301
2003-02-20;14.451,20;403197972166;12.506,40;472202423166;24.052,31;63742839572;13.890,87;14741057744;13.747,97;324037717344;13.692,45;129850943132;14.269,10;105569101730
2003-02-21;14.452,44;403307452543;12.494,90;471853481572;24.057,80;64073739892;13.866,93;14696001357;13.732,62;323689252473;13.678,12;129746008244;14.252,60;105764348787
2003-02-22;14.452,44;403307452543;12.494,90;471853481572;24.057,80;64073739892;13.866,93;14696001357;13.732,62;323689252473;13.678,12;129746008244;14.252,60;105764348787
2003-02-23;14.452,44;403307452543;12.494,90;471853481572;24.057,80;64073739892;13.866,93;14696001357;13.732,62;323689252473;13.678,12;129746008244;14.252,60;105764348787
2003-02-24;14.462,37;403918110245;12.517,91;472704473927;24.105,50;64287133671;13.889,69;14731481526;13.752,65;325556383408;13.703,43;130004689697;14.273,95;106161310711
2003-02-25;14.455,60;404238218921;12.527,85;473870733163;24.091,87;64207851768;13.910,99;14759487364;13.769,94;325958595281;13.711,50;130553113084;14.296,03;106325540369
2003-02-26;14.473,27;407064288211;12.536,16;481381402586;24.092,04;64221851085;13.912,71;15478415881;13.768,46;327205572881;13.718,76;131881183862;14.300,07;107862943176
2003-02-27;14.473,45;407369052408;12.533,10;481338502200;24.087,18;64296980966;13.925,08;15573417690;13.772,31;328530021515;13.730,35;132008177128;14.302,86;107911062847
2003-02-28;14.494,90;408389829234;12.542,74;482484043821;24.148,94;64372522828;13.944,14;15620555442;13.801,28;329218662537;13.751,20;132451590604;14.315,88;108195113771
2003-03-01;14.494,90;408389829234;12.542,74;482484043821;24.148,94;64372522828;13.944,14;15620555442;13.801,28;329218662537;13.751,20;132451590604;14.315,88;108195113771
