
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2007-03-24;20.431,40;2419810737587;20.589,06;3638967058001;19.509,48;5197091926148;36.861,96;826144769521;18.324,24;7160939588745;18.364,16;2585210765234
2007-03-25;20.431,40;2419810737587;20.589,06;3638967058001;19.509,48;5197091926148;36.861,96;826144769521;18.324,24;7160939588745;18.364,16;2585210765234
2007-03-26;20.485,67;2426398966244;20.631,53;3646918150850;19.570,87;5212848885864;36.969,32;828601272646;18.370,88;7178212887088;18.420,40;2591239568770
2007-03-27;20.473,60;2425240478461;20.642,30;3649904354212;19.561,94;5211993860708;36.959,39;828109159224;18.362,37;7174817256328;18.412,04;2589460518672
2007-03-28;20.463,33;2423300719738;20.641,67;3650104756690;19.556,58;5208567961163;36.942,03;827965352442;18.352,32;7171078978001;18.408,81;2589161971721
2007-03-29;20.418,62;2417889799802;20.607,35;3644854352807;19.515,94;5198039197769;36.878,10;826819151407;18.319,34;7160045126617;18.383,28;2585491807732
2007-03-30;20.393,31;2414191051139;20.579,90;3640705750234;19.490,42;5191698365416;36.840,21;825724661627;18.297,77;7156209836595;18.358,57;2582535991931
2007-03-31;20.393,31;2414191051139;20.579,90;3640705750234;19.490,42;5191698365416;36.840,21;825724661627;18.297,77;7156209836595;18.358,57;2582535991931
2007-04-01;20.393,31;2414191051139;20.579,90;3640705750234;19.490,42;5191698365416;36.840,21;825724661627;18.297,77;7156209836595;18.358,57;2582535991931
2007-04-02;20.446,22;2418321175176;20.630,88;3651706200648;19.548,41;5202190507467;36.960,31;824936577203;18.348,82;7168452798774;18.407,81;2583376233035
2007-04-03;20.473,00;2420951838261;20.650,41;3653263568901;19.574,75;5208387716457;37.002,63;824565040361;18.373,15;7179615247139;18.435,58;2587124678312
2007-04-04;20.511,13;2425321546532;20.680,37;3658502068788;19.613,40;5214945990386;37.081,24;827094459770;18.414,77;7193245828685;18.470,38;2591302323707
2007-04-05;20.610,59;2435169163671;20.766,48;3672780237108;19.711,82;5238829443215;37.275,61;831556874008;18.506,55;7226949612481;18.569,05;2603722417584
2007-04-06;20.610,59;2435169163671;20.766,48;3672780237108;19.711,82;5238829443215;37.275,61;831556874008;18.506,55;7226949612481;18.569,05;2603722417584
2007-04-07;20.610,59;2435169163671;20.766,48;3672780237108;19.711,82;5238829443215;37.275,61;831556874008;18.506,55;7226949612481;18.569,05;2603722417584
2007-04-08;20.610,59;2435169163671;20.766,48;3672780237108;19.711,82;5238829443215;37.275,61;831556874008;18.506,55;7226949612481;18.569,05;2603722417584
2007-04-09;20.674,17;2441623067354;20.811,90;3680410346089;19.766,82;5253604189638;37.379,97;833883924426;18.555,55;7240480483040;18.622,08;2610543410783
2007-04-10;20.688,45;2441641823704;20.824,78;3681337694999;19.787,00;5258198852268;37.416,47;834706661011;18.567,58;7242400784063;18.636,44;2611807075441
2007-04-11;20.764,94;2450437964660;20.911,41;3696439539491;19.859,07;5278778515100;37.567,36;837535872314;18.634,89;7267227780434;18.703,77;2621464144613
2007-04-12;20.790,76;2453002003896;20.942,70;3701481002320;19.887,48;5283938474589;37.621,66;838798369011;18.656,66;7275244623264;18.729,73;2625743126964
2007-04-13;20.775,89;2450668123621;20.924,62;3697411983963;19.872,96;5278582248475;37.588,50;837981300228;18.639,01;7269625669850;18.717,29;2626568746124
2007-04-14;20.775,89;2450668123621;20.924,62;3697411983963;19.872,96;5278582248475;37.588,50;837981300228;18.639,01;7269625669850;18.717,29;2626568746124
2007-04-15;20.775,89;2450668123621;20.924,62;3697411983963;19.872,96;5278582248475;37.588,50;837981300228;18.639,01;7269625669850;18.717,29;2626568746124
2007-04-16;20.814,56;2456195579207;20.974,87;3704057293199;19.912,51;5288619970743;37.666,51;835759046676;18.674,94;7272625244198;18.749,77;2626758709202
2007-04-17;20.897,00;2465617676821;21.035,31;3719403479063;19.980,88;5307224371197;37.816,85;839560544981;18.743,01;7298166009422;18.818,32;2638841950378
2007-04-18;20.939,96;2469707639507;21.092,73;3732496912224;20.024,48;5325914888358;37.907,15;842148453651;18.778,45;7320959905897;18.858,09;2641740063267
2007-04-19;20.924,79;2469026197929;21.079,58;3731967278406;20.013,14;5321291479104;37.883,92;842166931288;18.769,00;7316931032306;18.847,54;2642292288285
2007-04-20;20.943,85;2471570970819;21.101,81;3734052365105;20.038,48;5326955655719;37.906,61;842727385393;18.779,99;7319523777911;18.863,78;2644432667619
2007-04-21;20.943,85;2471570970819;21.101,81;3734052365105;20.038,48;5326955655719;37.906,61;842727385393;18.779,99;7319523777911;18.863,78;2644432667619
2007-04-22;20.943,85;2471570970819;21.101,81;3734052365105;20.038,48;5326955655719;37.906,61;842727385393;18.779,99;7319523777911;18.863,78;2644432667619
2007-04-23;21.013,87;2478594140621;21.134,66;3737986701093;20.105,79;5346023829740;38.027,16;845563573655;18.844,62;7345896295738;18.909,16;2649412836478
2007-04-24;21.067,96;2485698377142;21.188,44;3747162364469;20.159,01;5356998643960;38.130,94;847570923466;18.888,77;7362966012997;18.968,02;2658259365176
2007-04-25;21.018,47;2479042667972;21.153,66;3740007223197;20.108,28;5345983982963;38.039,18;845780542408;18.845,56;7346161312506;18.927,01;2653057886664
2007-04-26;21.035,42;2480534676623;21.168,84;3743025633992;20.127,69;5346572895856;38.064,14;846037344336;18.857,84;7350404031084;18.940,03;2653956047636
2007-04-27;21.084,88;2486226931014;21.224,20;3753531413933;20.178,02;5361866237686;38.171,08;848450071856;18.908,55;7369810634246;18.982,09;2660861340664
2007-04-28;21.084,88;2486226931014;21.224,20;3753531413933;20.178,02;5361866237686;38.171,08;848450071856;18.908,55;7369810634246;18.982,09;2660861340664
2007-04-29;21.084,88;2486226931014;21.224,20;3753531413933;20.178,02;5361866237686;38.171,08;848450071856;18.908,55;7369810634246;18.982,09;2660861340664
2007-04-30;21.078,89;2489316298482;21.215,69;3751714987520;20.168,04;5359070887837;38.155,43;848102055246;18.894,81;7368487998630;18.975,86;2653588353146
2007-05-01;21.078,89;2489316298482;21.215,69;3751714987520;20.168,04;5359070887837;38.155,43;848102055246;18.894,81;7368487998630;18.975,86;2653588353146
2007-05-02;21.081,66;2488478057172;21.202,38;3749036469144;20.160,79;5353122727656;38.149,73;845663735823;18.896,85;7360099553742;18.967,51;2645533733877
2007-05-03;21.077,83;2484080026841;21.183,01;3744700351574;20.159,32;5349488883558;38.130,77;843821213562;18.890,91;7358560944457;18.968,40;2645353978752
2007-05-04;21.108,56;2485428245259;21.221,83;3751059982135;20.196,68;5359876585747;38.210,68;846428486633;18.920,14;7367220502987;18.987,37;2648084938286
2007-05-05;21.108,56;2485428245259;21.221,83;3751059982135;20.196,68;5359876585747;38.210,68;846428486633;18.920,14;7367220502987;18.987,37;2648084938286
2007-05-06;21.108,56;2485428245259;21.221,83;3751059982135;20.196,68;5359876585747;38.210,68;846428486633;18.920,14;7367220502987;18.987,37;2648084938286
2007-05-07;21.154,65;2490569870529;21.260,82;3757110955878;20.246,87;5371826897246;38.309,08;848212179909;18.962,35;7378805416365;19.027,36;2653415989376
2007-05-08;21.179,41;2492442004648;21.287,64;3761160111196;20.276,26;5375789698254;38.380,46;849572937658;18.984,96;7383548132573;19.052,83;2654567806616
2007-05-09;21.184,45;2492468072253;21.305,50;3765712644602;20.288,36;5378212206955;38.387,21;849710385361;18.987,95;7382618960817;19.060,66;2655266182268
2007-05-10;21.151,64;2487724962060;21.274,20;3758937936663;20.254,03;5364159580912;38.334,52;848246952142;18.954,93;7368816042246;19.030,89;2651432126598
2007-05-11;21.184,78;2491353025197;21.310,45;3764713857586;20.292,47;5375436860915;38.395,58;849289769494;18.980,08;7377748504918;19.062,14;2655777027397
2007-05-12;21.184,78;2491353025197;21.310,45;3764713857586;20.292,47;5375436860915;38.395,58;849289769494;18.980,08;7377748504918;19.062,14;2655777027397
2007-05-13;21.184,78;2491353025197;21.310,45;3764713857586;20.292,47;5375436860915;38.395,58;849289769494;18.980,08;7377748504918;19.062,14;2655777027397
2007-05-14;21.158,37;2487689547911;21.262,72;3755875842561;20.244,65;5362783811404;38.325,88;847606860284;18.956,34;7369900976783;19.036,69;2650346718079
2007-05-15;21.166,24;2486225750944;21.284,37;3755689738655;20.256,24;5359349682941;38.362,94;844897098094;18.960,44;7358038966689;19.039,74;2646937588242
2007-05-16;21.097,96;2478093355176;21.227,33;3748022356412;20.189,75;5347753715463;38.237,97;841290188088;18.893,59;7337160978496;18.986,70;2641490912237
2007-05-17;21.064,37;2474724690692;21.196,64;3743874332207;20.156,46;5338918177196;38.156,28;840467303660;18.866,64;7325502732688;18.948,40;2637545994358
