
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-02-21;16.186,97;1132003615294;16.145,28;1532217763860;15.455,73;2286288160996;15.391,46;271169489074;15.645,09;2723984401296;15.625,48;937710574957
2006-02-22;16.181,35;1132145742497;16.137,77;1532099859151;15.449,81;2286064744207;15.377,30;270925654537;15.626,91;2724956430175;15.615,25;937232006517
2006-02-23;16.228,40;1136178484423;16.171,84;1536159233325;15.494,41;2294556717495;15.427,70;271889919889;15.677,46;2734563179908;15.667,36;940431287118
2006-02-24;16.261,70;1139086626971;16.210,63;1540986954389;15.522,60;2273078877996;15.465,06;272762401911;15.709,07;2740420926267;15.699,60;943207827896
2006-02-25;16.261,70;1139086626971;16.210,63;1540986954389;15.522,60;2273078877996;15.465,06;272762401911;15.709,07;2740420926267;15.699,60;943207827896
2006-02-26;16.261,70;1139086626971;16.210,63;1540986954389;15.522,60;2273078877996;15.465,06;272762401911;15.709,07;2740420926267;15.699,60;943207827896
2006-02-27;16.304,37;1142092402854;16.251,11;1545422376606;15.570,50;2280816900740;15.506,20;273670425245;15.751,75;2752153704493;15.741,27;946381101367
2006-02-28;16.357,15;1144053776120;16.307,62;1548271190906;15.623,40;2285437830565;15.556,70;273901376620;15.808,15;2763276907493;15.797,30;950577538819
2006-03-01;16.429,12;1150159615974;16.373,08;1555930805556;15.696,97;2298070911619;15.627,70;273695357430;15.875,48;2773025966649;15.869,56;952587346597
2006-03-02;16.345,38;1144436858665;16.298,76;1549402829416;15.620,75;2286977236424;15.549,46;274000445596;15.787,13;2748944085579;15.789,02;948877813610
2006-03-03;16.377,65;1147037949401;16.333,60;1553720335738;15.651,42;2291731834081;15.578,94;274519924768;15.824,26;2755519125663;15.823,34;950896235616
2006-03-04;16.377,65;1147037949401;16.333,60;1553720335738;15.651,42;2291731834081;15.578,94;274519924768;15.824,26;2755519125663;15.823,34;950896235616
2006-03-05;16.377,65;1147037949401;16.333,60;1553720335738;15.651,42;2291731834081;15.578,94;274519924768;15.824,26;2755519125663;15.823,34;950896235616
2006-03-06;16.398,21;1148476261556;16.354,27;1556205803223;15.672,06;2294212836488;15.596,51;274836531692;15.843,48;2761042454327;15.840,04;951865178072
2006-03-07;16.411,77;1149515567178;16.361,95;1556922431692;15.680,93;2295557951983;15.603,57;275148171346;15.855,25;2762594462891;15.848,35;952278569874
2006-03-08;16.392,73;1148430634246;16.337,80;1555247572003;15.654,72;2291279354604;15.582,91;274780128776;15.839,89;2759999723240;15.829,73;951266254092
2006-03-09;16.309,24;1142533916230;16.257,82;1548506767936;15.569,59;2281838074504;15.498,59;273291760233;15.763,62;2746445665100;15.748,83;946391417365
2006-03-10;16.193,51;1134209978462;16.161,54;1539443487101;15.458,42;2265759879102;15.388,25;271360255868;15.638,55;2724509752194;15.631,99;939457418607
2006-03-11;16.193,51;1134209978462;16.161,54;1539443487101;15.458,42;2265759879102;15.388,25;271360255868;15.638,55;2724509752194;15.631,99;939457418607
2006-03-12;16.193,51;1134209978462;16.161,54;1539443487101;15.458,42;2265759879102;15.388,25;271360255868;15.638,55;2724509752194;15.631,99;939457418607
2006-03-13;16.197,36;1134515593207;16.165,55;1539939032718;15.465,01;2266839013174;15.395,12;271479452842;15.652,10;2726902885928;15.642,60;940238276888
2006-03-14;16.250,18;1138755250385;16.210,06;1545106401181;15.514,27;2274740269151;15.453,37;272537736090;15.711,70;2738327402945;15.694,69;943861732885
2006-03-15;16.313,76;1145141663867;16.268,17;1552504876951;15.578,56;2284428579360;15.515,28;271171079753;15.768,19;2742830250994;15.760,61;946011975637
2006-03-16;16.357,14;1148085917456;16.315,40;1559514029701;15.616,13;2293229981639;15.560,02;273736670559;15.801,71;2748732376844;15.801,18;948509978471
2006-03-17;16.433,72;1156353856184;16.387,60;1568895507505;15.684,92;2311097266825;15.630,54;275411432331;15.873,72;2761317582975;15.878,98;953250118026
2006-03-18;16.433,72;1156353856184;16.387,60;1568895507505;15.684,92;2311097266825;15.630,54;275411432331;15.873,72;2761317582975;15.878,98;953250118026
2006-03-19;16.433,72;1156353856184;16.387,60;1568895507505;15.684,92;2311097266825;15.630,54;275411432331;15.873,72;2761317582975;15.878,98;953250118026
