
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2005-03-10;16.146,61;80637752475;16.304,69;211571960032;14.101,39;263112465043;27.004,82;35577590297;15.412,41;267756467892;15.225,19;95307274503
2005-03-11;16.128,43;80359166697;16.301,93;210926591173;14.089,80;263150702776;26.986,03;35487933871;15.403,72;267561072224;15.214,71;95228505968
2005-03-12;16.128,43;80359166697;16.301,93;210926591173;14.089,80;263150702776;26.986,03;35487933871;15.403,72;267561072224;15.214,71;95228505968
2005-03-13;16.128,43;80359166697;16.301,93;210926591173;14.089,80;263150702776;26.986,03;35487933871;15.403,72;267561072224;15.214,71;95228505968
2005-03-14;16.125,36;80435871549;16.296,85;210743157435;14.093,24;263267040573;26.973,31;35497372435;15.396,98;267663083459;15.214,93;95216330381
2005-03-15;16.122,58;80298902307;16.299,27;210256212658;14.104,28;263599472243;26.982,54;35482278871;15.398,49;267376130654;15.223,31;95368392991
2005-03-16;16.120,50;79940211396;16.292,63;209649047591;14.098,01;263183955761;26.969,94;35029075702;15.397,86;266748160163;15.220,94;94799259658
2005-03-17;16.118,73;80025804910;16.287,19;209308683071;14.087,43;261998965095;26.979,91;35216505600;15.389,50;266649918345;15.214,29;94675261341
2005-03-18;16.122,92;79889554900;16.285,74;209414731955;14.084,53;262187834464;26.974,90;35263969617;15.388,86;266817681459;15.211,97;94683754488
2005-03-19;16.122,92;79889554900;16.285,74;209414731955;14.084,53;262187834464;26.974,90;35263969617;15.388,86;266817681459;15.211,97;94683754488
2005-03-20;16.122,92;79889554900;16.285,74;209414731955;14.084,53;262187834464;26.974,90;35263969617;15.388,86;266817681459;15.211,97;94683754488
2005-03-21;16.105,41;79730196579;16.278,73;208765315886;14.076,57;262226379181;26.932,75;35060015401;15.370,52;266743355866;15.199,42;94646396547
2005-03-22;16.112,33;79808365488;16.278,19;208294873837;14.082,74;262344239035;26.945,57;35076035029;15.377,64;266888336916;15.201,88;94283062438
2005-03-23;16.100,97;81149320486;16.270,22;207526191285;14.071,88;262192469098;26.930,29;35063154462;15.368,13;266737660090;15.193,36;94224676361
2005-03-24;16.116,81;81241379672;16.314,35;207724351109;14.084,37;261045173804;26.945,27;35058475354;15.383,03;267145992386;15.210,99;94288023020
2005-03-25;16.116,81;81241379672;16.314,35;207724351109;14.084,37;261045173804;26.945,27;35058475354;15.383,03;267145992386;15.210,99;94288023020
2005-03-26;16.116,81;81241379672;16.314,35;207724351109;14.084,37;261045173804;26.945,27;35058475354;15.383,03;267145992386;15.210,99;94288023020
2005-03-27;16.116,81;81241379672;16.314,35;207724351109;14.084,37;261045173804;26.945,27;35058475354;15.383,03;267145992386;15.210,99;94288023020
2005-03-28;16.100,60;80741629131;16.280,91;207081397254;14.070,62;260993763912;26.921,98;35028221199;15.373,62;264873988266;15.200,08;94376098361
2005-03-29;16.133,20;80952576811;16.311,86;207550661714;14.090,29;261292273793;26.961,05;35086209885;15.404,06;265395609439;15.222,25;94509334022
2005-03-30;16.134,29;81101707221;16.312,82;207573849147;14.090,30;261300607031;26.947,11;35179956132;15.404,98;265472782701;15.219,73;94375639839
2005-03-31;16.130,61;81091875002;16.303,38;207462018048;14.083,01;259292426084;26.944,47;35181819428;15.406,41;265505644303;15.213,76;94252336190
2005-04-01;16.126,84;81072910601;16.285,65;207234512821;14.082,81;259288076508;26.943,99;35023700642;15.404,26;265121472158;15.217,90;94145504768
2005-04-02;16.126,84;81072910601;16.285,65;207234512821;14.082,81;259288076508;26.943,99;35023700642;15.404,26;265121472158;15.217,90;94145504768
2005-04-03;16.126,84;81072910601;16.285,65;207234512821;14.082,81;259288076508;26.943,99;35023700642;15.404,26;265121472158;15.217,90;94145504768
2005-04-04;16.137,03;81124141516;16.324,56;207515611852;14.091,14;259075728249;26.955,78;35034938606;15.407,35;264938166483;15.224,15;94246443278
2005-04-05;16.166,71;81226303000;16.358,85;207344462469;14.117,11;259625057585;26.989,58;35077674461;15.429,83;265116485813;15.250,88;93829226819
2005-04-06;16.175,60;81492918366;16.386,07;206909279907;14.122,97;259223860326;27.012,74;35037193684;15.442,80;265150764356;15.261,91;93881163103
2005-04-07;16.158,58;81395630736;16.363,60;206554580004;14.116,22;257893485368;26.995,68;34843330665;15.438,45;265070177413;15.251,15;93782348710
2005-04-08;16.143,44;81364664617;16.341,66;205061546675;14.104,31;257202407149;26.963,92;34403528082;15.421,68;264657638048;15.232,12;93559729595
2005-04-09;16.143,44;81364664617;16.341,66;205061546675;14.104,31;257202407149;26.963,92;34403528082;15.421,68;264657638048;15.232,12;93559729595
2005-04-10;16.143,44;81364664617;16.341,66;205061546675;14.104,31;257202407149;26.963,92;34403528082;15.421,68;264657638048;15.232,12;93559729595
2005-04-11;16.154,28;81222006756;16.335,51;204657671427;14.113,39;257363532547;26.977,66;34425468511;15.435,71;264354566093;15.242,01;93619779327
2005-04-12;16.169,80;81328152335;16.377,46;203744252976;14.124,87;257384191054;26.996,94;34469153791;15.444,36;264626808301;15.247,48;93527155241
2005-04-13;16.181,62;81197579336;16.378,90;203172516011;14.138,43;259120467286;27.019,84;34538617697;15.456,88;264841544161;15.260,38;93618025123
2005-04-14;16.185,45;81219678563;16.383,92;203261998428;14.138,03;258122010319;27.017,05;34569239615;15.463,09;264687150731;15.261,22;93568568578
2005-04-15;16.223,68;80887382536;16.401,89;203108203847;14.179,83;258206483902;27.088,68;34284753273;15.493,87;264449214815;15.291,97;93382485419
