
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-02-16;13.600,15;439453461181;13.720,91;833760232021;13.267,16;997028874268;13.054,85;243526370764;13.145,03;1594609458209;13.219,02;688416548990
2006-02-17;13.597,49;439358681306;13.718,01;833900291366;13.267,10;998622187443;13.054,54;243534592220;13.143,21;1594547924251;13.217,60;688365166621
2006-02-18;13.597,49;439358681306;13.718,01;833900291366;13.267,10;998622187443;13.054,54;243534592220;13.143,21;1594547924251;13.217,60;688365166621
2006-02-19;13.597,49;439358681306;13.718,01;833900291366;13.267,10;998622187443;13.054,54;243534592220;13.143,21;1594547924251;13.217,60;688365166621
2006-02-20;13.599,10;439374570420;13.721,59;833637379965;13.270,72;998009815650;13.056,69;243849739436;13.146,47;1592304175427;13.220,41;688907157224
2006-02-21;13.617,58;440078036356;13.735,62;834022137907;13.290,58;999752621973;13.071,57;243936835987;13.164,93;1596366376295;13.238,06;689704179409
2006-02-22;13.620,52;439515764249;13.732,91;833724080522;13.298,88;1000439370965;13.070,66;244112326265;13.166,52;1597832601949;13.241,93;690041147673
2006-02-23;13.644,65;440409866658;13.752,72;835145793109;13.321,95;1000611789446;13.093,57;244643387488;13.190,38;1601355555155;13.265,26;691309749357
2006-02-24;13.660,60;440693901550;13.770,09;835910735678;13.334,81;1023214658848;13.112,31;245211808819;13.203,54;1603539291322;13.282,81;692671015194
2006-02-25;13.660,60;440693901550;13.770,09;835910735678;13.334,81;1023214658848;13.112,31;245211808819;13.203,54;1603539291322;13.282,81;692671015194
2006-02-26;13.660,60;440693901550;13.770,09;835910735678;13.334,81;1023214658848;13.112,31;245211808819;13.203,54;1603539291322;13.282,81;692671015194
2006-02-27;13.678,85;441135514081;13.789,43;837584006637;13.356,45;1025119636090;13.130,33;245686542499;13.219,04;1606544698018;13.298,66;693318432351
2006-02-28;13.695,74;444764989844;13.806,33;843850699918;13.380,30;1032493200044;13.148,09;247159354831;13.241,85;1610641622622;13.319,10;698619454181
2006-03-01;13.713,35;445288152200;13.827,92;845053973474;13.401,48;1031423705415;13.169,31;247352250971;13.260,54;1611561337206;13.338,78;699223992552
2006-03-02;13.688,72;444668637891;13.800,00;842090548651;13.377,78;1028377513071;13.147,22;247005305854;13.228,86;1613557457392;13.316,77;696059357793
2006-03-03;13.695,86;443494481039;13.809,92;840386979111;13.381,77;1028745916831;13.149,60;247020431857;13.240,22;1614917063337;13.321,61;696147850576
2006-03-04;13.695,86;443494481039;13.809,92;840386979111;13.381,77;1028745916831;13.149,60;247020431857;13.240,22;1614917063337;13.321,61;696147850576
2006-03-05;13.695,86;443494481039;13.809,92;840386979111;13.381,77;1028745916831;13.149,60;247020431857;13.240,22;1614917063337;13.321,61;696147850576
2006-03-06;13.703,04;443627973709;13.816,45;839662992323;13.391,35;1030072843317;13.155,75;247149537285;13.245,36;1611674710639;13.328,26;695780516603
2006-03-07;13.714,59;442982124354;13.827,35;838538078906;13.401,17;1027721998792;13.168,35;245119398351;13.254,10;1611369837416;13.337,43;696045259332
2006-03-08;13.709,66;442076460089;13.819,57;837161492878;13.390,87;1023840447693;13.160,23;244927002156;13.247,74;1610176755748;13.327,91;693027999475
2006-03-09;13.679,52;440793969999;13.800,92;834123362968;13.357,96;1019163441671;13.130,69;244372536809;13.222,34;1606424869035;13.297,92;691281173127
2006-03-10;13.653,22;439745315783;13.766,70;831647834745;13.329,97;1015500981765;13.099,90;242797161276;13.194,08;1596796360797;13.272,21;690186691738
2006-03-11;13.653,22;439745315783;13.766,70;831647834745;13.329,97;1015500981765;13.099,90;242797161276;13.194,08;1596796360797;13.272,21;690186691738
2006-03-12;13.653,22;439745315783;13.766,70;831647834745;13.329,97;1015500981765;13.099,90;242797161276;13.194,08;1596796360797;13.272,21;690186691738
2006-03-13;13.644,62;439468297000;13.756,85;829028992312;13.328,57;1015685646191;13.093,36;242677291725;13.192,28;1596420419512;13.267,55;690004618204
2006-03-14;13.664,81;440377668836;13.772,15;829556414649;13.343,49;1017391249339;13.112,89;243020955941;13.210,10;1599355692493;13.284,52;691243397494
2006-03-15;13.676,76;438749370398;13.786,53;830152570061;13.356,28;1018172219490;13.124,80;242856964319;13.223,30;1600155263486;13.296,47;691712775256
2006-03-16;13.705,39;439537488370;13.810,69;830574079564;13.372,32;1016642298893;13.149,12;243181476709;13.235,28;1601782014187;13.320,58;692920269764
