
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2011-04-10;24.277,12;604639614598;25.731,23;662130268016;22.755,97;742284652153;25.872,90;3212882226;40.828,69;57524060017;23.643,96;620214838035
2011-04-11;24.292,23;602091158730;25.747,27;656341041761;22.771,34;737087641222;25.887,58;3214705168;40.851,99;57414375825;23.656,64;617680883516
2011-04-12;24.301,36;598328630298;25.760,80;650331674372;22.780,04;731503966504;25.897,87;3211604515;40.861,69;57542204733;23.662,79;614338082862
2011-04-13;24.306,26;596509422446;25.762,46;646187695425;22.780,77;725417345681;25.877,32;3206761482;40.861,51;57541687398;23.658,25;611080488257
2011-04-14;24.313,01;593868925060;25.772,50;644875778868;22.792,71;720764515548;25.887,47;3196364482;40.867,24;57458993881;23.664,83;609656416518
2011-04-15;24.336,61;596581187823;25.793,48;646125349228;22.816,89;721475244569;25.910,88;3205358066;40.896,64;57154730803;23.700,87;609222781340
2011-04-16;24.336,61;596581187823;25.793,48;646125349228;22.816,89;721475244569;25.910,88;3205358066;40.896,64;57154730803;23.700,87;609222781340
2011-04-17;24.336,61;596581187823;25.793,48;646125349228;22.816,89;721475244569;25.910,88;3205358066;40.896,64;57154730803;23.700,87;609222781340
2011-04-18;24.368,16;597513519909;25.819,57;643982045258;22.843,63;721177393840;25.941,71;3117497853;40.933,03;57141391975;23.730,00;608874583379
2011-04-19;24.378,25;596452196926;25.850,83;641547569840;22.859,59;720906352368;25.953,65;3120720116;40.961,36;57039720788;23.743,95;607742158059
2011-04-20;24.394,62;596497642362;25.850,16;640408700832;22.868,64;718923446802;25.983,66;3129199147;40.970,00;57997558284;23.753,90;607857718095
2011-04-21;24.407,77;596262316233;25.866,92;639844476336;22.888,38;717955538293;26.005,39;3130993528;40.989,67;57970445337;23.779,26;608122211190
2011-04-22;24.407,77;596262316233;25.866,92;639844476336;22.888,38;717955538293;26.005,39;3130993528;40.989,67;57970445337;23.779,26;608122211190
2011-04-23;24.407,77;596262316233;25.866,92;639844476336;22.888,38;717955538293;26.005,39;3130993528;40.989,67;57970445337;23.779,26;608122211190
2011-04-24;24.407,77;596262316233;25.866,92;639844476336;22.888,38;717955538293;26.005,39;3130993528;40.989,67;57970445337;23.779,26;608122211190
2011-04-25;24.439,02;596970739335;25.887,53;641017158531;22.920,01;719133697257;26.022,77;3139499462;41.016,69;58014915281;23.806,94;609189906808
2011-04-26;24.465,30;597259051513;25.899,17;641345453376;22.930,75;720607046900;26.025,32;3142336978;41.035,97;57878336007;23.820,15;611026612579
2011-04-27;24.485,06;596499171690;25.925,41;639642042854;22.940,21;721077103458;26.056,48;3143791279;41.062,76;57943000603;23.848,16;612501462464
2011-04-28;24.484,32;596242470218;25.928,69;637005519529;22.940,91;719137306030;26.045,07;3142414031;41.072,81;57932829080;23.853,29;612694309674
2011-04-29;24.479,23;594972925081;25.932,32;636017863996;22.948,54;718138283122;26.051,47;3146380989;41.092,29;58124699999;23.871,64;612717642027
2011-04-30;24.479,23;594972925081;25.932,32;636017863996;22.948,54;718138283122;26.051,47;3146380989;41.092,29;58124699999;23.871,64;612717642027
2011-05-01;24.479,23;594972925081;25.932,32;636017863996;22.948,54;718138283122;26.051,47;3146380989;41.092,29;58124699999;23.871,64;612717642027
2011-05-02;24.509,37;594652986128;25.968,26;637208713478;22.967,29;714368385708;26.075,99;3109243756;41.127,56;57701964568;23.893,96;610186342416
2011-05-03;24.509,41;593860997476;25.957,61;635862928787;22.957,13;713057160925;26.065,85;4601033119;41.134,77;57661791669;23.892,06;609440757298
2011-05-04;24.512,27;592516730405;25.959,60;634818846240;22.955,63;712444413722;26.070,62;4602030002;41.134,49;57735017820;23.888,90;607432884303
2011-05-05;24.499,50;590900526290;25.944,97;628321787799;22.933,00;708238858813;26.056,69;4581648119;41.116,73;57801318479;23.870,27;606656798258
2011-05-06;24.539,64;592243181697;25.986,25;626692475076;22.985,07;709431818939;26.080,63;4617357259;41.162,91;57865271553;23.907,54;606021066543
2011-05-07;24.539,64;592243181697;25.986,25;626692475076;22.985,07;709431818939;26.080,63;4617357259;41.162,91;57865271553;23.907,54;606021066543
2011-05-08;24.539,64;592243181697;25.986,25;626692475076;22.985,07;709431818939;26.080,63;4617357259;41.162,91;57865271553;23.907,54;606021066543
2011-05-09;24.557,26;591923943846;26.015,97;627121641256;23.002,13;709097866650;26.092,51;4621431584;41.208,13;57913704097;23.924,37;605646829873
2011-05-10;24.566,16;592358396137;26.022,69;626860732569;23.002,92;708943385503;26.108,14;4630186680;41.219,77;57728196823;23.936,56;605280041131
2011-05-11;24.568,47;591962218223;26.020,76;622440236425;23.000,51;708707343984;26.104,32;4631400420;41.213,09;57549780332;23.941,86;605109739870
2011-05-12;24.568,59;590834953557;26.018,14;619886972976;23.002,84;707804747785;26.110,99;4634551671;41.221,42;57562020892;23.937,29;605125751732
