
Valores Confirmados

Fecha;BANSANDER;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA;;SANTA MARIA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2006-04-22;17.166,41;68622696594;17.247,46;158953564540;14.963,26;210681693841;28.462,47;26379597702;16.320,03;233979384389;16.067,86;81022633860
2006-04-23;17.166,41;68622696594;17.247,46;158953564540;14.963,26;210681693841;28.462,47;26379597702;16.320,03;233979384389;16.067,86;81022633860
2006-04-24;17.169,27;68653348690;17.248,06;158630552944;14.969,93;210809643610;28.469,31;26402973565;16.326,01;234061821694;16.072,82;80920360579
2006-04-25;17.171,30;68722359900;17.249,01;158275876823;14.975,15;211039700192;28.475,73;26348001971;16.322,26;234054115757;16.073,48;80921309962
2006-04-26;17.178,58;69528282159;17.247,14;158258391201;14.970,68;210986469113;28.479,48;26350553187;16.319,13;234282113171;16.071,75;80991771866
2006-04-27;17.170,21;69517436206;17.239,54;158205826564;14.960,46;209511607296;28.481,38;26368380589;16.315,20;234418196699;16.064,21;81015228793
2006-04-28;17.161,88;69195259138;17.235,27;158208884755;14.965,35;209606671505;28.492,56;26389978961;16.320,95;234478947513;16.063,61;81035636532
2006-04-29;17.161,88;69195259138;17.235,27;158208884755;14.965,35;209606671505;28.492,56;26389978961;16.320,95;234478947513;16.063,61;81035636532
2006-04-30;17.161,88;69195259138;17.235,27;158208884755;14.965,35;209606671505;28.492,56;26389978961;16.320,95;234478947513;16.063,61;81035636532
2006-05-01;17.161,88;69195259138;17.235,27;158208884755;14.965,35;209606671505;28.492,56;26389978961;16.320,95;234478947513;16.063,61;81035636532
2006-05-02;17.179,47;69278928780;17.245,74;157972416034;14.973,87;209531184736;28.502,09;26335178537;16.328,20;232574437137;16.072,45;80868155730
2006-05-03;17.178,30;68552304259;17.250,89;156840567861;14.972,98;209517616258;28.505,51;26243656365;16.330,62;232585886795;16.077,26;80242954338
2006-05-04;17.145,85;68174897326;17.243,80;156250171906;14.942,33;207585399437;28.469,48;26210619987;16.300,46;231947596231;16.044,09;80094349877
