
Valores Confirmados

Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2000-05-16;9.437,02;241160077054;10.056,24;3032544380688;9.429,69;4150852297618;17.738,18;363093850223;9.702,23;501325516476;9.006,75;5961198922315;8.993,83;2395285681503;9.850,26;2127280131950
2000-05-17;9.455,10;241669184830;10.068,27;3036194373119;9.442,37;4156846007895;17.769,70;363839732569;9.714,06;502000644661;9.016,89;5968420680282;9.005,24;2398576410928;9.860,80;2129935488530
2000-05-18;9.478,87;242245682225;10.084,76;3041206699732;9.458,46;4164136868724;17.806,99;364571030424;9.735,39;503109495344;9.035,10;5980930307589;9.022,50;2403519958029;9.882,35;2134705934128
2000-05-19;9.490,86;242531407831;10.095,56;3044866931287;9.466,80;4167803090244;17.824,53;364948023944;9.742,77;503547097686;9.039,42;5984046251394;9.028,35;2406328523894;9.890,45;2136303665073
2000-05-20;9.490,86;242531407831;10.095,56;3044866931287;9.466,80;4167803090244;17.824,53;364948023944;9.742,77;503547097686;9.039,42;5984046251394;9.028,35;2406328523894;9.890,45;2136303665073
2000-05-21;9.490,86;242531407831;10.095,56;3044866931287;9.466,80;4167803090244;17.824,53;364948023944;9.742,77;503547097686;9.039,42;5984046251394;9.028,35;2406328523894;9.890,45;2136303665073
2000-05-22;9.508,60;242968470723;10.104,33;3048386881874;9.470,77;4169604191791;17.851,55;365524450907;9.753,80;504096499651;9.050,47;5991194019637;9.040,28;2412260513885;9.901,25;2139923215472
2000-05-23;9.505,30;242747316081;10.103,18;3047860130450;9.467,78;4177683772628;17.837,98;365260176108;9.748,46;503910322930;9.046,85;5988930563404;9.037,18;2412795225116;9.897,93;2139939880696
2000-05-24;9.486,42;242241551135;10.079,62;3041286525057;9.442,05;4166304361648;17.799,20;364496540243;9.721,88;502553527733;9.030,42;5977530591627;9.015,64;2407381963243;9.875,38;2136804249083
2000-05-25;9.488,06;242121602731;10.083,91;3043270129266;9.443,28;4166533608338;17.809,09;364644312071;9.728,66;503180393154;9.034,74;5980712302268;9.022,91;2410511702251;9.881,33;2140212714737
2000-05-26;9.488,42;242142536012;10.082,97;3051357231953;9.444,06;4174737246338;17.816,92;365040958777;9.724,93;503545954201;9.034,72;5980872779209;9.022,76;2411945131826;9.878,80;2140951827984
2000-05-27;9.488,42;242142536012;10.082,97;3051357231953;9.444,06;4174737246338;17.816,92;365040958777;9.724,93;503545954201;9.034,72;5980872779209;9.022,76;2411945131826;9.878,80;2140951827984
2000-05-28;9.488,42;242142536012;10.082,97;3051357231953;9.444,06;4174737246338;17.816,92;365040958777;9.724,93;503545954201;9.034,72;5980872779209;9.022,76;2411945131826;9.878,80;2140951827984
2000-05-29;9.521,20;243082021082;10.110,08;3060676926306;9.467,56;4184653647876;17.859,48;366169202618;9.751,73;505546787529;9.054,41;5992860811153;9.045,40;2419353794451;9.902,63;2149123241201
2000-05-30;9.515,12;242794700625;10.103,00;3064357034604;9.462,09;4185978878482;17.840,61;366302146342;9.748,64;505884914925;9.051,70;6021264750395;9.041,03;2418125457945;9.893,28;2147311867055
2000-05-31;9.508,37;245157091711;10.093,66;3061933068607;9.454,87;4184460104299;17.823,97;370405237660;9.739,84;508133673216;9.047,63;6010718355246;9.034,25;2422138121343;9.885,59;2135830864927
2000-06-01;9.516,88;245363945159;10.103,05;3064778636363;9.468,37;4190170850424;17.842,34;370791647322;9.752,27;508253857082;9.057,64;6016797324268;9.044,71;2424814496230;9.895,50;2138130603317
2000-06-02;9.526,64;245519818645;10.107,50;3064639509021;9.479,97;4194352606953;17.850,42;370849770679;9.761,68;508742018230;9.061,80;6018797482475;9.050,70;2426378296795;9.903,92;2138732908973
2000-06-03;9.526,64;245519818645;10.107,50;3064639509021;9.479,97;4194352606953;17.850,42;370849770679;9.761,68;508742018230;9.061,80;6018797482475;9.050,70;2426378296795;9.903,92;2138732908973
2000-06-04;9.526,64;245519818645;10.107,50;3064639509021;9.479,97;4194352606953;17.850,42;370849770679;9.761,68;508742018230;9.061,80;6018797482475;9.050,70;2426378296795;9.903,92;2138732908973
2000-06-05;9.543,67;245759718780;10.118,79;3068044196962;9.489,87;4197685083164;17.877,38;371409691930;9.772,98;509357180337;9.072,55;6023767201905;9.063,17;2428294726916;9.913,57;2140293010502
2000-06-06;9.579,53;246672762153;10.145,82;3075550783220;9.520,37;4211089138815;17.929,21;372471234283;9.804,98;510845083619;9.096,07;6038237036597;9.088,24;2434351407573;9.942,16;2144181537462
2000-06-07;9.603,83;247362128849;10.175,79;3084366277550;9.553,46;4224985815068;17.970,26;373067755630;9.833,25;512185918889;9.119,12;6052979089072;9.112,69;2437923630200;9.974,77;2149751484674
2000-06-08;9.608,83;247489466175;10.187,55;3087476319959;9.564,57;4229686782150;17.989,81;373368660805;9.842,12;512672082363;9.128,78;6058942633242;9.123,21;2440213821916;9.987,17;2152375546191
2000-06-09;9.605,21;247396352778;10.183,75;3084906296703;9.566,59;4227907796950;17.986,70;373292939836;9.843,89;512104604329;9.131,33;6054823621253;9.123,99;2440393577019;9.991,97;2152098081535
2000-06-10;9.605,21;247396352778;10.183,75;3084906296703;9.566,59;4227907796950;17.986,70;373292939836;9.843,89;512104604329;9.131,33;6054823621253;9.123,99;2440393577019;9.991,97;2152098081535
2000-06-11;9.605,21;247396352778;10.183,75;3084906296703;9.566,59;4227907796950;17.986,70;373292939836;9.843,89;512104604329;9.131,33;6054823621253;9.123,99;2440393577019;9.991,97;2152098081535
2000-06-12;9.626,08;247762964187;10.203,37;3088140403954;9.586,09;4236505018838;18.012,96;374017271730;9.859,65;512858365530;9.143,94;6061858959359;9.138,85;2444324327173;10.007,10;2155470659550
2000-06-13;9.620,36;247587190265;10.199,98;3087529115178;9.579,28;4229077526753;18.011,49;373698689717;9.856,77;512846998668;9.143,80;6062560592723;9.135,24;2443461868852;10.006,77;2155779002609
2000-06-14;9.628,69;247833227287;10.210,34;3090520380309;9.586,48;4232184838464;18.020,44;373894470428;9.862,61;513163122003;9.149,83;6066682094238;9.142,19;2445324461998;10.014,84;2157575444653
2000-06-15;9.628,79;247940351001;10.210,16;3090492480548;9.587,20;4232595108066;18.017,50;373829629750;9.862,64;513299541780;9.150,13;6066551508006;9.142,86;2445653654655;10.011,02;2156655067619
2000-06-16;9.625,48;247907471300;10.210,15;3090273948103;9.586,53;4232147003349;18.017,22;373823788469;9.864,42;513390486332;9.152,47;6067677737495;9.144,41;2446545569247;10.015,29;2157656107829
2000-06-17;9.625,48;247907471300;10.210,15;3090273948103;9.586,53;4232147003349;18.017,22;373823788469;9.864,42;513390486332;9.152,47;6067677737495;9.144,41;2446545569247;10.015,29;2157656107829
2000-06-18;9.625,48;247907471300;10.210,15;3090273948103;9.586,53;4232147003349;18.017,22;373823788469;9.864,42;513390486332;9.152,47;6067677737495;9.144,41;2446545569247;10.015,29;2157656107829
2000-06-19;9.625,48;247907471300;10.210,15;3090273948103;9.586,53;4232147003349;18.017,22;373823788469;9.864,42;513390486332;9.152,47;6067677737495;9.144,41;2446545569247;10.015,29;2157656107829
2000-06-20;9.640,15;248266177245;10.226,47;3095079567661;9.601,03;4238934155317;18.038,99;374483031168;9.876,68;514080683520;9.162,61;6074879635340;9.156,73;2450121209621;10.028,82;2160400453027
2000-06-21;9.631,25;247868594743;10.217,35;3092209164242;9.592,50;4234902476610;18.021,99;374143429864;9.869,60;513704739252;9.155,57;6069240951162;9.147,09;2449132721768;10.017,81;2158520185847
2000-06-22;9.644,79;248216983070;10.228,59;3095703629971;9.603,79;4239646798038;18.042,71;374580930249;9.881,11;514373148490;9.165,91;6076008357840;9.156,53;2452476133611;10.029,13;2161520361323
2000-06-23;9.660,24;248651941644;10.243,52;3103794486264;9.617,37;4245537914706;18.064,52;374973496723;9.898,17;515313499253;9.177,22;6083747379090;9.169,06;2457430851706;10.044,80;2166838425566
2000-06-24;9.660,24;248651941644;10.243,52;3103794486264;9.617,37;4245537914706;18.064,52;374973496723;9.898,17;515313499253;9.177,22;6083747379090;9.169,06;2457430851706;10.044,80;2166838425566
2000-06-25;9.660,24;248651941644;10.243,52;3103794486264;9.617,37;4245537914706;18.064,52;374973496723;9.898,17;515313499253;9.177,22;6083747379090;9.169,06;2457430851706;10.044,80;2166838425566
2000-06-26;9.660,24;248651941644;10.243,52;3103794486264;9.617,37;4245537914706;18.064,52;374973496723;9.898,17;515313499253;9.177,22;6083747379090;9.169,06;2457430851706;10.044,80;2166838425566
2000-06-27;9.676,91;248980595771;10.258,23;3110836457899;9.632,68;4252207400368;18.100,18;375854025559;9.915,41;516618814301;9.191,39;6092937130385;9.184,58;2464427052372;10.051,49;2169864500020
2000-06-28;9.669,58;249596609998;10.250,90;3110170809616;9.620,96;4259050944365;18.072,49;375831023404;9.904,37;516512673299;9.185,19;6088996600739;9.174,13;2462488115775;10.044,48;2171384225958
2000-06-29;9.669,09;249643797747;10.250,14;3118307712664;9.618,91;4266410562447;18.078,75;376271817042;9.908,48;517464769655;9.187,86;6119588683711;9.176,19;2464312254071;10.043,59;2172596326753
2000-06-30;9.686,15;252230449744;10.268,60;3124100354501;9.638,34;4275796574625;18.104,66;386104418253;9.924,30;521487933228;9.202,90;6118359534264;9.192,27;2472731736360;10.062,50;2170118411540
2000-07-01;9.686,15;252230449744;10.268,60;3124100354501;9.638,34;4275796574625;18.104,66;386104418253;9.924,30;521487933228;9.202,90;6118359534264;9.192,27;2472731736360;10.062,50;2170118411540
2000-07-02;9.686,15;252230449744;10.268,60;3124100354501;9.638,34;4275796574625;18.104,66;386104418253;9.924,30;521487933228;9.202,90;6118359534264;9.192,27;2472731736360;10.062,50;2170118411540
2000-07-03;9.688,32;252207718121;10.271,74;3123458022794;9.641,40;4277064459084;18.112,99;386365151461;9.926,79;521620731593;9.207,86;6121621845009;9.194,07;2472575179689;10.066,82;2170901032368
2000-07-04;9.686,10;251999828149;10.273,76;3123909982921;9.643,16;4277468812525;18.119,46;386170341345;9.930,53;521789252697;9.209,49;6121080758345;9.196,83;2471953702917;10.066,72;2170886271952
