
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-03-04;17.456,61;4426291267728;19.603,97;3508906766945;18.921,76;4918188242952;35.736,41;717981654304;17.419,56;6681633358233
2009-03-05;17.519,07;4441760955596;19.686,40;3522135455023;19.029,33;4943396280158;35.931,89;721750187529;17.494,40;6709169546950
2009-03-06;17.439,52;4421011134815;19.608,79;3507678858324;18.913,89;4913175772356;35.748,90;718074901846;17.400,01;6671215897765
2009-03-07;17.439,52;4421011134815;19.608,79;3507678858324;18.913,89;4913175772356;35.748,90;718074901846;17.400,01;6671215897765
2009-03-08;17.439,52;4421011134815;19.608,79;3507678858324;18.913,89;4913175772356;35.748,90;718074901846;17.400,01;6671215897765
2009-03-09;17.424,59;4416978224745;19.582,52;3500895513859;18.895,84;4907430657536;35.675,32;716422128442;17.385,02;6663880271971
2009-03-10;17.405,68;4411831407647;19.559,97;3496113773592;18.866,57;4897819530398;35.652,85;715836685432;17.367,06;6656932391531
2009-03-11;17.535,49;4444344186511;19.696,06;3517448293231;19.034,66;4938514207720;35.897,80;720539677169;17.503,50;6709949625560
2009-03-12;17.599,44;4460550948893;19.771,67;3529058021770;19.100,55;4955943688053;36.052,50;723658100980;17.564,92;6734900252185
2009-03-13;17.621,69;4471074866021;19.809,11;3537208421392;19.134,97;4968258050578;36.099,54;724347393221;17.600,82;6748780765544
2009-03-14;17.621,69;4471074866021;19.809,11;3537208421392;19.134,97;4968258050578;36.099,54;724347393221;17.600,82;6748780765544
2009-03-15;17.621,69;4471074866021;19.809,11;3537208421392;19.134,97;4968258050578;36.099,54;724347393221;17.600,82;6748780765544
2009-03-16;17.703,69;4493382222518;19.912,17;3554175423451;19.238,04;4996713397196;36.249,65;724799353729;17.672,72;6788807038945
2009-03-17;17.716,67;4497178686030;19.942,56;3558151224721;19.261,55;5004212652899;36.287,44;725731811372;17.695,76;6797414662931
2009-03-18;17.712,64;4495837442768;19.939,41;3557405085600;19.283,06;5007737388008;36.291,01;728115169579;17.697,38;6800288739591
2009-03-19;17.806,80;4519671066172;20.039,35;3572503060677;19.401,83;5036499918891;36.529,52;733400397940;17.793,24;6839060634536
2009-03-20;17.828,82;4525504644111;20.062,93;3574232834556;19.417,73;5039520456503;36.563,62;734420306721;17.809,42;6844044065655
2009-03-21;17.828,82;4525504644111;20.062,93;3574232834556;19.417,73;5039520456503;36.563,62;734420306721;17.809,42;6844044065655
2009-03-22;17.828,82;4525504644111;20.062,93;3574232834556;19.417,73;5039520456503;36.563,62;734420306721;17.809,42;6844044065655
2009-03-23;17.777,19;4512057316498;20.038,18;3567312184525;19.366,60;5024972966077;36.508,54;733065539110;17.762,08;6825415997708
2009-03-24;17.917,43;4546582011744;20.186,28;3591626997428;19.567,40;5075417829557;36.793,57;738817941590;17.919,35;6885640284664
2009-03-25;17.898,26;4540539164601;20.186,37;3588592395089;19.525,92;5063569616757;36.758,47;737997858129;17.899,89;6878388241799
2009-03-26;17.945,92;4552202859482;20.244,79;3596104380252;19.574,62;5074709730808;36.847,95;739809973147;17.951,39;6899448607316
2009-03-27;17.989,63;4563040777053;20.292,49;3604039332719;19.628,70;5088232190341;36.926,18;741325530363;17.996,91;6915881897408
2009-03-28;17.989,63;4563040777053;20.292,49;3604039332719;19.628,70;5088232190341;36.926,18;741325530363;17.996,91;6915881897408
2009-03-29;17.989,63;4563040777053;20.292,49;3604039332719;19.628,70;5088232190341;36.926,18;741325530363;17.996,91;6915881897408
2009-03-30;17.939,74;4549649817188;20.241,81;3593760208333;19.541,57;5065158378223;36.785,98;738562672705;17.949,24;6897842998257
2009-03-31;17.784,27;4508880696230;20.071,34;3561328250775;19.367,47;5018521936367;36.466,22;731358791255;17.773,25;6829992550567
2009-04-01;17.794,10;4508819006152;20.086,40;3564464525553;19.397,31;5025605834869;36.513,78;729808117114;17.794,86;6838173923555
2009-04-02;17.843,60;4520761552037;20.141,03;3572530247082;19.458,27;5039992699173;36.614,77;734154463363;17.844,59;6856270014579
2009-04-03;17.988,12;4555697740943;20.316,59;3602771697673;19.636,00;5085186367703;36.942,30;740207948663;18.000,00;6915311551275
2009-04-04;17.988,12;4555697740943;20.316,59;3602771697673;19.636,00;5085186367703;36.942,30;740207948663;18.000,00;6915311551275
2009-04-05;17.988,12;4555697740943;20.316,59;3602771697673;19.636,00;5085186367703;36.942,30;740207948663;18.000,00;6915311551275
2009-04-06;18.020,31;4563216300570;20.359,41;3610289534820;19.686,36;5096567851589;37.070,38;742663042089;18.037,82;6929653818070
2009-04-07;18.028,02;4565141992346;20.363,10;3610006911095;19.690,71;5097677281373;37.087,35;743008061515;18.043,34;6932556602176
2009-04-08;17.977,51;4552923185061;20.309,36;3600311217460;19.631,36;5082568530752;36.971,67;740368007254;17.992,35;6912488025519
2009-04-09;18.000,24;4559340238263;20.334,81;3604416636844;19.663,77;5090241233182;37.015,36;741243115517;18.014,84;6918843227307
2009-04-10;18.000,24;4559340238263;20.334,81;3604416636844;19.663,77;5090241233182;37.015,36;741243115517;18.014,84;6918843227307
2009-04-11;18.000,24;4559340238263;20.334,81;3604416636844;19.663,77;5090241233182;37.015,36;741243115517;18.014,84;6918843227307
2009-04-12;18.000,24;4559340238263;20.334,81;3604416636844;19.663,77;5090241233182;37.015,36;741243115517;18.014,84;6918843227307
2009-04-13;18.127,87;4591045649383;20.463,19;3627851667924;19.798,55;5123757351609;37.253,04;745813252642;18.140,37;6966124155884
2009-04-14;18.200,19;4611806439866;20.548,27;3643323610517;19.895,20;5149417904928;37.425,06;749503085388;18.216,00;6997257836379
2009-04-15;18.254,19;4627941231905;20.619,71;3658687173930;19.953,18;5168648570246;37.537,96;747851275852;18.263,73;7012996183587
2009-04-16;18.275,50;4635901144403;20.633,72;3662218433071;19.974,41;5179744703881;37.555,25;750875502135;18.281,22;7020496906243
2009-04-17;18.326,09;4649850036246;20.707,18;3678714608954;20.033,71;5197213274506;37.663,85;754184240778;18.334,19;7040894221710
2009-04-18;18.326,09;4649850036246;20.707,18;3678714608954;20.033,71;5197213274506;37.663,85;754184240778;18.334,19;7040894221710
2009-04-19;18.326,09;4649850036246;20.707,18;3678714608954;20.033,71;5197213274506;37.663,85;754184240778;18.334,19;7040894221710
