
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2009-05-11;18.989,51;2090222262937;19.168,53;2083402775697;19.182,30;1905143301657;18.408,42;170289201148;19.583,60;2392591212387
2009-05-12;19.008,46;2097664392416;19.200,72;2094323127267;19.203,57;1913874728086;18.423,35;170425265892;19.602,58;2400160073351
2009-05-13;19.009,26;2103325453206;19.201,81;2102633959671;19.169,24;1918050834966;18.429,75;171155531272;19.605,36;2406481225237
2009-05-14;18.849,40;2096020825180;19.040,61;2098135178865;18.991,69;1908429659903;18.267,62;169692089904;19.428,78;2389458549826
2009-05-15;18.678,81;2085216367756;18.877,09;2098963295074;18.867,05;1911185125762;18.078,96;166362606793;19.262,40;2374420846562
2009-05-16;18.678,81;2085216367756;18.877,09;2098963295074;18.867,05;1911185125762;18.078,96;166362606793;19.262,40;2374420846562
2009-05-17;18.678,81;2085216367756;18.877,09;2098963295074;18.867,05;1911185125762;18.078,96;166362606793;19.262,40;2374420846562
2009-05-18;18.727,30;2102084358672;18.922,36;2116722105777;18.889,59;1926938332419;18.135,69;167275823155;19.319,37;2399713938938
2009-05-19;19.024,84;2142995052111;19.214,25;2156314632739;19.231,30;1970450884560;18.414,36;173267628336;19.637,00;2445961807933
2009-05-20;19.304,82;2179513002999;19.488,03;2193128511598;19.492,32;2002186722180;18.721,75;176164821036;19.933,35;2487948307432
2009-05-21;19.304,82;2179513002999;19.488,03;2193128511598;19.492,32;2002186722180;18.721,75;176164821036;19.933,35;2487948307432
2009-05-22;19.326,33;2185638804572;19.517,85;2202553991355;19.503,84;2007178086195;18.767,32;177266488733;19.956,88;2494746800382
2009-05-23;19.326,33;2185638804572;19.517,85;2202553991355;19.503,84;2007178086195;18.767,32;177266488733;19.956,88;2494746800382
2009-05-24;19.326,33;2185638804572;19.517,85;2202553991355;19.503,84;2007178086195;18.767,32;177266488733;19.956,88;2494746800382
2009-05-25;19.302,41;2187397240950;19.469,09;2201803276720;19.501,90;2011477954598;18.729,64;176962361561;19.925,97;2496852316101
2009-05-26;19.380,52;2200738539252;19.543,79;2215457884933;19.565,41;2024318361212;18.807,85;178409870490;20.009,58;2511403776021
2009-05-27;19.450,13;2212520099391;19.612,90;2226391720467;19.647,18;2036806003197;18.860,32;178934303203;20.087,33;2525316727206
2009-05-28;19.554,59;2227826568147;19.716,29;2240340689063;19.748,81;2051295941496;18.972,82;180835739984;20.206,23;2543844146330
2009-05-29;19.583,09;2227245374275;19.768,95;2249105216483;19.797,59;2058737694707;19.009,63;180889155786;20.235,05;2551052761431
2009-05-30;19.583,09;2227245374275;19.768,95;2249105216483;19.797,59;2058737694707;19.009,63;180889155786;20.235,05;2551052761431
2009-05-31;19.583,09;2227245374275;19.768,95;2249105216483;19.797,59;2058737694707;19.009,63;180889155786;20.235,05;2551052761431
2009-06-01;19.798,60;2260932061765;19.969,03;2277909587011;20.012,27;2089509019331;19.220,19;180256829985;20.459,23;2583126337000
2009-06-02;20.031,77;2295613324317;20.181,93;2306230091489;20.299,34;2123485062058;19.448,80;187511947547;20.709,40;2616091796296
2009-06-03;20.275,88;2327005948889;20.465,57;2341906002305;20.530,80;2150320404666;19.687,86;189819638666;20.952,28;2649874756126
2009-06-04;20.166,90;2318292777603;20.318,96;2330470969869;20.392,23;2139641169001;19.570,58;189220610552;20.826,35;2636181037137
2009-06-05;20.128,23;2317961204484;20.308,46;2334344245275;20.409,17;2148567730566;19.532,50;188856075774;20.804,29;2638907478306
2009-06-06;20.128,23;2317961204484;20.308,46;2334344245275;20.409,17;2148567730566;19.532,50;188856075774;20.804,29;2638907478306
2009-06-07;20.128,23;2317961204484;20.308,46;2334344245275;20.409,17;2148567730566;19.532,50;188856075774;20.804,29;2638907478306
2009-06-08;20.213,19;2335397171514;20.390,73;2354829106075;20.456,35;2162856590658;19.613,04;190246176085;20.892,39;2656794422394
2009-06-09;20.080,14;2326904189258;20.253,63;2346855366699;20.336,00;2155717096379;19.483,50;189005985697;20.756,23;2645258596394
2009-06-10;20.085,43;2333322127476;20.275,45;2356220802945;20.357,74;2165871662517;19.510,24;190258021022;20.771,35;2652580863084
2009-06-11;20.271,46;2359996310176;20.444,30;2383470531447;20.528,19;2190082138278;19.665,12;191793055342;20.953,69;2680605032434
2009-06-12;20.389,99;2379428335538;20.562,15;2403492766005;20.644,33;2208365262065;19.770,30;193651353602;21.064,27;2699429714066
2009-06-13;20.389,99;2379428335538;20.562,15;2403492766005;20.644,33;2208365262065;19.770,30;193651353602;21.064,27;2699429714066
2009-06-14;20.389,99;2379428335538;20.562,15;2403492766005;20.644,33;2208365262065;19.770,30;193651353602;21.064,27;2699429714066
2009-06-15;20.351,88;2388249375887;20.525,51;2410028983630;20.605,76;2217634904719;19.746,98;190956217170;21.028,96;2709618536262
2009-06-16;20.090,66;2363228695988;20.266,95;2388757339361;20.347,57;2195772481434;19.512,50;192879080894;20.763,47;2680517780955
2009-06-17;19.858,79;2341076959414;20.047,33;2368703947988;20.117,81;2178993762925;19.311,11;191214774442;20.532,95;2654618726022
2009-06-18;19.595,65;2313936933993;19.764,88;2341906469151;19.858,66;2157164624918;19.070,98;189919715603;20.261,11;2624817605422
2009-06-19;19.444,56;2299041104198;19.646,48;2331514962332;19.717,80;2146777233657;18.973,23;188989682144;20.135,74;2612157242410
2009-06-20;19.444,56;2299041104198;19.646,48;2331514962332;19.717,80;2146777233657;18.973,23;188989682144;20.135,74;2612157242410
2009-06-21;19.444,56;2299041104198;19.646,48;2331514962332;19.717,80;2146777233657;18.973,23;188989682144;20.135,74;2612157242410
2009-06-22;19.553,29;2314726371789;19.739,28;2344217258870;19.844,81;2163075903811;19.077,49;190028233743;20.241,28;2627745582160
2009-06-23;19.280,70;2283812052751;19.486,46;2314859760264;19.558,86;2133640633834;18.859,14;188807351899;19.961,02;2592714341251
2009-06-24;19.164,20;2271250919903;19.358,00;2300644832119;19.420,87;2119458079503;18.722,22;187854776006;19.830,53;2577588314319
2009-06-25;19.248,46;2281519882095;19.450,61;2312301406526;19.528,11;2131728918187;18.799,82;188647452751;19.928,90;2593041972399
2009-06-26;19.402,64;2298669872896;19.578,12;2324827226409;19.695,95;2145108090820;18.930,35;190928637643;20.086,78;2612605367809
2009-06-27;19.402,64;2298669872896;19.578,12;2324827226409;19.695,95;2145108090820;18.930,35;190928637643;20.086,78;2612605367809
2009-06-28;19.402,64;2298669872896;19.578,12;2324827226409;19.695,95;2145108090820;18.930,35;190928637643;20.086,78;2612605367809
2009-06-29;19.402,64;2298669872896;19.578,12;2324827226409;19.695,95;2145108090820;18.930,35;190928637643;20.086,78;2612605367809
2009-06-30;19.599,87;2318834664692;19.781,29;2344632623963;19.874,06;2162383141395;19.121,02;191452228025;20.276,79;2636667162584
2009-07-01;19.592,63;2324300796527;19.772,63;2346345695699;19.873,46;2167024439265;19.111,82;187783773367;20.273,30;2644066609210
2009-07-02;19.735,06;2341084571613;19.935,51;2364435897377;20.013,88;2182990655428;19.246,81;194348149931;20.423,33;2661047712819
2009-07-03;19.637,61;2331036115600;19.846,46;2354210256226;19.907,92;2171826377681;19.152,57;193403545763;20.321,29;2647765088460
2009-07-04;19.637,61;2331036115600;19.846,46;2354210256226;19.907,92;2171826377681;19.152,57;193403545763;20.321,29;2647765088460
2009-07-05;19.637,61;2331036115600;19.846,46;2354210256226;19.907,92;2171826377681;19.152,57;193403545763;20.321,29;2647765088460
2009-07-06;19.605,80;2327506835906;19.808,70;2350650076424;19.866,94;2168023678170;19.134,14;193760464139;20.286,20;2643707628570
2009-07-07;19.480,40;2314163955293;19.675,81;2335616586537;19.769,07;2159469523288;19.004,81;192462376131;20.165,20;2627807089169
2009-07-08;19.395,50;2305560454072;19.602,12;2327146287854;19.661,31;2148723822222;18.942,63;191903125692;20.074,94;2617658018393
2009-07-09;19.260,62;2290735689670;19.467,24;2312278400434;19.541,26;2136537844662;18.819,24;190771125751;19.959,05;2603542927920
2009-07-10;19.331,58;2300590395016;19.532,47;2321698181270;19.630,90;2146628159404;18.882,44;191515092716;20.033,43;2613875456624
2009-07-11;19.331,58;2300590395016;19.532,47;2321698181270;19.630,90;2146628159404;18.882,44;191515092716;20.033,43;2613875456624
2009-07-12;19.331,58;2300590395016;19.532,47;2321698181270;19.630,90;2146628159404;18.882,44;191515092716;20.033,43;2613875456624
2009-07-13;19.272,30;2294085087039;19.483,53;2316273092895;19.565,69;2139818439926;18.823,85;191021915709;19.971,55;2606707543031
2009-07-14;19.283,53;2297857709672;19.471,24;2317737970064;19.611,02;2147086991562;18.812,57;191027295216;19.992,30;2609111031827
2009-07-15;19.497,84;2337441408824;19.698,95;2354136901344;19.832,64;2177040346521;19.013,17;190545331671;20.216,59;2640539483596
2009-07-16;19.497,84;2337441408824;19.698,95;2354136901344;19.832,64;2177040346521;19.013,17;190545331671;20.216,59;2640539483596
2009-07-17;19.958,05;2395488113673;20.167,02;2412402792998;20.270,57;2228796214022;19.466,99;195665109810;20.704,84;2707667910093
2009-07-18;19.958,05;2395488113673;20.167,02;2412402792998;20.270,57;2228796214022;19.466,99;195665109810;20.704,84;2707667910093
2009-07-19;19.958,05;2395488113673;20.167,02;2412402792998;20.270,57;2228796214022;19.466,99;195665109810;20.704,84;2707667910093
2009-07-20;20.009,57;2404106876233;20.226,15;2420565391599;20.304,61;2233708027524;19.505,71;200298878285;20.745,51;2718949259046
2009-07-21;20.298,07;2440709605171;20.502,84;2455688689987;20.593,32;2266394123404;19.774,23;203094735791;21.042,78;2758978036457
2009-07-22;20.386,69;2455475920196;20.588,06;2468303837091;20.666,87;2278027139513;19.854,25;203991806978;21.122,87;2770946489034
2009-07-23;20.353,18;2453039378549;20.560,41;2467092213064;20.637,54;2277064465501;19.833,87;203856812199;21.090,15;2767591649933
2009-07-24;20.555,97;2479234188740;20.765,90;2493631277892;20.856,23;2303604856273;20.011,78;205885737360;21.311,17;2798811016180
