
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2003-02-22;10.426,47;60797946392;10.267,21;106594679122;10.400,04;7287921370;10.437,28;5129870665;10.477,92;92243740046;10.275,81;36913242910;10.424,66;60035573168
2003-02-23;10.426,47;60797946392;10.267,21;106594679122;10.400,04;7287921370;10.437,28;5129870665;10.477,92;92243740046;10.275,81;36913242910;10.424,66;60035573168
2003-02-24;10.411,13;60782131853;10.259,76;106516389608;10.396,43;7299542669;10.431,50;5134738968;10.467,01;92758629250;10.262,30;36864539784;10.421,52;60499818863
2003-02-25;10.455,09;61098339299;10.289,63;107240833178;10.431,86;7333505744;10.465,44;5155401994;10.501,60;93063937225;10.294,69;36984975410;10.459,10;60717993829
2003-02-26;10.411,30;61345876454;10.260,22;107633145723;10.405,09;7300901644;10.451,68;5227431035;10.472,72;94449570252;10.263,01;37212245710;10.435,09;60774007258
2003-02-27;10.368,66;61171624115;10.202,94;107028481378;10.362,20;7273957080;10.386,55;5260410589;10.424,69;94641124790;10.213,69;37033100399;10.379,66;60456731140
2003-02-28;10.346,04;61129001091;10.181,34;107234378086;10.357,19;7270900450;10.374,41;5254281531;10.407,91;94487942765;10.195,31;37109001741;10.359,35;60527900211
2003-03-01;10.346,04;61129001091;10.181,34;107234378086;10.357,19;7270900450;10.374,41;5254281531;10.407,91;94487942765;10.195,31;37109001741;10.359,35;60527900211
2003-03-02;10.346,04;61129001091;10.181,34;107234378086;10.357,19;7270900450;10.374,41;5254281531;10.407,91;94487942765;10.195,31;37109001741;10.359,35;60527900211
2003-03-03;10.367,29;61245721681;10.202,34;107469777679;10.365,45;7269151370;10.385,02;5259655224;10.430,94;94695157455;10.211,96;37167587544;10.377,71;60635180735
2003-03-04;10.401,25;61445667950;10.247,85;107870685365;10.403,00;7295505732;10.425,88;5280345104;10.477,41;95115961770;10.255,78;37326360332;10.413,09;60841468476
2003-03-05;10.443,78;61701691720;10.298,69;108406282038;10.447,18;7326635819;10.473,22;5304321111;10.519,90;95499556791;10.303,24;37513298581;10.457,70;61053543293
2003-03-06;10.444,39;61703929266;10.284,06;108248334703;10.450,69;7323391987;10.468,32;5301823361;10.511,39;95419830036;10.294,18;37479811826;10.441,87;60961135647
2003-03-07;10.412,11;61517116870;10.247,23;107896304418;10.438,02;7375255325;10.434,42;5284656232;10.495,12;95272014053;10.267,91;37401182336;10.424,71;60955395248
2003-03-08;10.412,11;61517116870;10.247,23;107896304418;10.438,02;7375255325;10.434,42;5284656232;10.495,12;95272014053;10.267,91;37401182336;10.424,71;60955395248
2003-03-09;10.412,11;61517116870;10.247,23;107896304418;10.438,02;7375255325;10.434,42;5284656232;10.495,12;95272014053;10.267,91;37401182336;10.424,71;60955395248
2003-03-10;10.437,19;61911647551;10.261,65;108066460037;10.460,87;7391642280;10.452,03;5293575359;10.507,29;95380540144;10.287,58;37472124073;10.444,02;61068099331
2003-03-11;10.426,90;61856652153;10.248,95;107928483301;10.458,03;7389362740;10.436,31;5285623474;10.507,41;95379618833;10.287,32;37480808071;10.438,29;61034666178
2003-03-12;10.306,90;61135530740;10.130,58;106786034858;10.372,72;7329050364;10.325,68;5230048907;10.386,91;94304929215;10.170,79;37076311308;10.320,37;60345144178
2003-03-13;10.265,67;60891842385;10.094,69;106406381981;10.338,94;7308046418;10.295,59;5215466791;10.346,81;93940308967;10.131,05;36930963823;10.282,84;60122578637
2003-03-14;10.222,83;60637710030;10.033,73;105814643412;10.292,95;7284772282;10.233,61;5161597493;10.300,28;93513802884;10.083,41;36757207191;10.237,56;59983534402
2003-03-15;10.222,83;60637710030;10.033,73;105814643412;10.292,95;7284772282;10.233,61;5161597493;10.300,28;93513802884;10.083,41;36757207191;10.237,56;59983534402
2003-03-16;10.222,83;60637710030;10.033,73;105814643412;10.292,95;7284772282;10.233,61;5161597493;10.300,28;93513802884;10.083,41;36757207191;10.237,56;59983534402
2003-03-17;10.269,06;62255320063;10.078,62;107168462427;10.319,92;7362601399;10.270,50;5276829539;10.353,98;95605944732;10.131,71;37572389863;10.288,11;60513519988
2003-03-18;10.297,30;62429045645;10.125,78;107667579954;10.339,84;7381674336;10.312,61;5305425723;10.389,98;96157473840;10.159,60;37672703219;10.329,70;60758253318
2003-03-19;10.305,44;62487733371;10.136,47;108005273184;10.337,01;7371333671;10.318,22;5308435902;10.414,35;96380879106;10.179,57;37746550059;10.340,54;60928682703
2003-03-20;10.362,40;62906152959;10.228,15;108980001713;10.388,52;7403358939;10.386,05;5343307066;10.460,75;96809430245;10.242,58;37980212551;10.402,76;61280814316
2003-03-21;10.422,34;63316730662;10.285,01;109585704433;10.438,46;7430230618;10.435,98;5368961532;10.511,48;97276852606;10.290,78;38231869900;10.453,05;61616853927
2003-03-22;10.422,34;63316730662;10.285,01;109585704433;10.438,46;7430230618;10.435,98;5368961532;10.511,48;97276852606;10.290,78;38231869900;10.453,05;61616853927
2003-03-23;10.422,34;63316730662;10.285,01;109585704433;10.438,46;7430230618;10.435,98;5368961532;10.511,48;97276852606;10.290,78;38231869900;10.453,05;61616853927
