
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2019-03-05;42.343,78;3825086642248;44.550,04;5033360606438;45.278,53;5740572678611;43.815,63;1137173909256;41.189,82;415951038048;43.916,98;3865231616199
2019-03-06;42.237,63;3815256729561;44.441,55;5020416748118;45.163,46;5722779896128;43.724,25;1134716806103;41.083,26;414811046328;43.807,44;3855513010905
2019-03-07;42.209,13;3812978145180;44.402,50;5009854329058;45.128,17;5715448406509;43.682,09;1134163775964;41.054,84;414534676677;43.780,60;3852478162653
2019-03-08;42.099,32;3793821568835;44.274,02;4994545751807;45.000,11;5688250393299;43.566,66;1130815580982;40.950,05;413498534586;43.660,04;3841899362049
2019-03-09;42.099,32;3793821568835;44.274,02;4994545751807;45.000,11;5688250393299;43.566,66;1130815580982;40.950,05;413498534586;43.660,04;3841899362049
2019-03-10;42.099,32;3793821568835;44.274,02;4994545751807;45.000,11;5688250393299;43.566,66;1130815580982;40.950,05;413498534586;43.660,04;3841899362049
2019-03-11;42.246,74;3807274225942;44.432,07;5012500446628;45.155,33;5706467444860;43.711,94;1135265191597;41.099,77;415027432180;43.820,35;3854743528762
2019-03-12;42.622,36;3844184148883;44.839,80;5061802879527;45.561,88;5759862830177;44.115,14;1147303354964;41.466,73;418983737860;44.215,26;3891125287432
2019-03-13;42.703,34;3856418853382;44.924,59;5075159073272;45.655,92;5772359535440;44.195,18;1151596245279;41.545,05;419928487140;44.301,73;3903946289962
2019-03-14;42.720,32;3863917649237;44.940,63;5080003401231;45.671,88;5777640159664;44.227,83;1154814464114;41.564,05;420718178770;44.321,33;3911675275215
2019-03-15;42.889,51;3885045829858;45.121,87;5093639752246;45.848,66;5811795451136;44.402,78;1160200372625;41.729,57;422695621953;44.500,29;3921134296770
2019-03-16;42.889,51;3885045829858;45.121,87;5093639752246;45.848,66;5811795451136;44.402,78;1160200372625;41.729,57;422695621953;44.500,29;3921134296770
2019-03-17;42.889,51;3885045829858;45.121,87;5093639752246;45.848,66;5811795451136;44.402,78;1160200372625;41.729,57;422695621953;44.500,29;3921134296770
2019-03-18;43.050,15;3898274371670;45.291,12;5111363709036;46.031,64;5832062853001;44.566,14;1164123703739;41.885,99;424244429750;44.672,76;3936190367118
2019-03-19;43.172,89;3908852742014;45.416,87;5125095101815;46.155,70;5846139575587;44.693,12;1167192936455;42.004,60;425480294244;44.800,64;3947205527148
2019-03-20;43.139,58;3905077580572;45.387,48;5120501181052;46.120,31;5839635218601;44.666,39;1163613066486;41.974,99;425079098715;44.776,99;3943849089671
2019-03-21;43.069,16;3894481338787;45.301,71;5110235298502;46.039,21;5828606645957;44.567,02;1161132770666;41.904,32;424548536678;44.703,85;3936865636034
2019-03-22;43.007,50;3889447456948;45.234,28;5101557951635;45.971,33;5820023689086;44.505,72;1159160387885;41.838,16;423733143542;44.622,13;3929041568297
2019-03-23;43.007,50;3889447456948;45.234,28;5101557951635;45.971,33;5820023689086;44.505,72;1159160387885;41.838,16;423733143542;44.622,13;3929041568297
2019-03-24;43.007,50;3889447456948;45.234,28;5101557951635;45.971,33;5820023689086;44.505,72;1159160387885;41.838,16;423733143542;44.622,13;3929041568297
2019-03-25;43.079,19;3897388282899;45.298,06;5109286705682;46.044,15;5827310660685;44.564,09;1160533830999;41.919,88;424346313194;44.705,35;3936801964819
2019-03-26;42.917,83;3884689004330;45.122,51;5088312395466;45.873,70;5802916083758;44.387,06;1155926751607;41.755,13;422646323560;44.528,52;3919412274670
2019-03-27;43.115,86;3903545540512;45.334,51;5112199457902;46.085,47;5830900735403;44.603,08;1162158819210;41.952,89;424393593098;44.730,65;3937108617297
2019-03-28;43.157,22;3897389472719;45.367,80;5110541719442;46.128,28;5829094015588;44.646,23;1163186344012;41.991,68;424757096381;44.782,61;3941505395684
2019-03-29;43.092,72;3874325086925;45.299,83;5080615329189;46.065,52;5792653910958;44.572,07;1157544293579;41.912,66;423048213595;44.719,84;3923739214772
2019-03-30;43.092,72;3874325086925;45.299,83;5080615329189;46.065,52;5792653910958;44.572,07;1157544293579;41.912,66;423048213595;44.719,84;3923739214772
2019-03-31;43.092,72;3874325086925;45.299,83;5080615329189;46.065,52;5792653910958;44.572,07;1157544293579;41.912,66;423048213595;44.719,84;3923739214772
