
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2018-04-18;31.432,54;4700840104049;33.201,71;3334005604565;33.708,03;5436499887629;32.133,56;531865462416;30.554,12;844384744038;30.811,72;6992003937802
2018-04-19;31.496,02;4710895140796;33.268,26;3341412590084;33.773,91;5444449348293;32.187,18;532955159946;30.613,86;846283785105;30.874,57;7005275451437
2018-04-20;31.485,11;4711869706001;33.260,06;3342199207095;33.756,01;5442355812031;32.173,63;533035843097;30.603,45;845965037772;30.857,35;7001075220040
2018-04-21;31.485,11;4711869706001;33.260,06;3342199207095;33.756,01;5442355812031;32.173,63;533035843097;30.603,45;845965037772;30.857,35;7001075220040
2018-04-22;31.485,11;4711869706001;33.260,06;3342199207095;33.756,01;5442355812031;32.173,63;533035843097;30.603,45;845965037772;30.857,35;7001075220040
2018-04-23;31.454,98;4709531333144;33.230,34;3340501731951;33.725,10;5437898670878;32.141,81;532428542950;30.577,60;845438089817;30.824,32;6995936490749
2018-04-24;31.433,77;4706205641709;33.210,21;3337291353490;33.704,81;5432496406856;32.135,27;532280422354;30.559,83;844923105459;30.800,09;6990327335054
2018-04-25;31.376,51;4683286647127;33.138,83;3304978721082;33.646,20;5372706854888;32.082,02;506344883604;30.499,56;841585092919;30.737,99;6969577649205
2018-04-26;31.270,96;4659111763708;33.029,59;3277780592951;33.534,38;5326551623662;31.993,27;486559183153;30.404,43;837770614741;30.638,54;6943079053051
2018-04-27;31.323,62;4661834892433;33.085,33;3280042469159;33.592,26;5327401672065;32.054,10;478384236095;30.450,33;839026913573;30.688,05;6955718073609
2018-04-28;31.323,62;4661834892433;33.085,33;3280042469159;33.592,26;5327401672065;32.054,10;478384236095;30.450,33;839026913573;30.688,05;6955718073609
2018-04-29;31.323,62;4661834892433;33.085,33;3280042469159;33.592,26;5327401672065;32.054,10;478384236095;30.450,33;839026913573;30.688,05;6955718073609
2018-04-30;31.407,64;4704253416504;33.170,88;3300618613983;33.683,59;5372514146041;32.136,23;479825284577;30.531,27;845665326536;30.771,73;7024693190050
2018-05-01;31.407,64;4704253416504;33.170,88;3300618613983;33.683,59;5372514146041;32.136,23;479825284577;30.531,27;845665326536;30.771,73;7024693190050
2018-05-02;31.480,74;4714265303216;33.256,26;3310203264270;33.764,93;5390288229559;32.214,93;474183244831;30.613,05;846342215204;30.848,22;7034710904759
2018-05-03;31.505,88;4717486231589;33.284,24;3309025979399;33.803,37;5394476117325;32.248,29;474865091968;30.655,03;848003502400;30.878,23;7040610410405
2018-05-04;31.486,03;4712100733437;33.252,59;3306387079509;33.786,92;5391413850195;32.231,28;474544597853;30.635,64;847189210368;30.854,97;7035030849295
2018-05-05;31.486,03;4712100733437;33.252,59;3306387079509;33.786,92;5391413850195;32.231,28;474544597853;30.635,64;847189210368;30.854,97;7035030849295
