fecha,fondo,administradora,valor cuota,valor patrimonio
2020-02-01,A,HABITAT,54344.44,6200217546052.0
2020-02-01,A,MODELO,52758.89,1257485689465.0
2020-02-01,A,PLANVITAL,49595.3,529778518521.0
2020-02-01,A,PROVIDA,53342.46,4416531889719.0
2020-02-01,A,UNO,54747.92,13825153025.0
2020-02-02,A,CAPITAL,50977.64,4245763069506.0
2020-02-02,A,CUPRUM,53452.83,5280989138307.0
2020-02-02,A,HABITAT,54344.44,6200217546052.0
2020-02-02,A,MODELO,52758.89,1257485689465.0
2020-02-02,A,PLANVITAL,49595.3,529778518521.0
2020-02-02,A,PROVIDA,53342.46,4416531889719.0
2020-02-02,A,UNO,54747.92,13825153025.0
2020-02-03,A,CAPITAL,50714.85,4211086358048.0
2020-02-03,A,CUPRUM,53192.11,5245426497725.0
2020-02-03,A,HABITAT,54068.24,6148079588265.0
2020-02-03,A,MODELO,52487.45,1247790704621.0
2020-02-03,A,PLANVITAL,49353.81,533452184443.0
2020-02-03,A,PROVIDA,53084.33,4385942540584.0
2020-02-03,A,UNO,54467.12,14588438075.0
2020-02-04,A,CAPITAL,50192.86,4165996450247.0
2020-02-04,A,CUPRUM,52641.97,5188694378295.0
2020-02-04,A,HABITAT,53486.4,6079209767477.0
2020-02-04,A,MODELO,51938.79,1234564942688.0
2020-02-04,A,PLANVITAL,48840.62,527748376467.0
2020-02-04,A,PROVIDA,52535.58,4338937284073.0
2020-02-04,A,UNO,53890.46,14414084284.0
2020-02-05,A,CAPITAL,50478.71,4186831796888.0
2020-02-05,A,CUPRUM,52925.8,5213914840570.0
2020-02-05,A,HABITAT,53781.43,6108921547925.0
2020-02-05,A,MODELO,52243.32,1241654630551.0
2020-02-05,A,PLANVITAL,49106.45,530512332482.0
2020-02-05,A,PROVIDA,52822.52,4361808517070.0
2020-02-05,A,UNO,54156.32,14504814105.0
2020-02-06,A,CAPITAL,50579.94,4193565887916.0
2020-02-06,A,CUPRUM,53031.94,5225809284231.0
2020-02-06,A,HABITAT,53878.71,6117658898940.0
2020-02-06,A,MODELO,52354.54,1243915180589.0
2020-02-06,A,PLANVITAL,49223.37,531799994028.0
2020-02-06,A,PROVIDA,52944.47,4373058173921.0
2020-02-06,A,UNO,54298.28,14789169451.0
2020-02-07,A,CAPITAL,50883.03,4214629339535.0
2020-02-07,A,CUPRUM,53349.26,5253183120061.0
2020-02-07,A,HABITAT,54190.96,6146297163876.0
2020-02-07,A,MODELO,52703.52,1250612395416.0
2020-02-07,A,PLANVITAL,49502.71,534935068759.0
2020-02-07,A,PROVIDA,53257.54,4396357649765.0
